,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
45,45,16-06-2020 18:09:26,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0815,55802,21520,1909,,True,800.0,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
46,46,16-06-2020 18:09:26,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2268,155199,59853,5310,,True,2225.0,,,,,,,Amfetamin [White] [Import] 10G
47,47,16-06-2020 18:09:26,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.1605,108744,41937,3721,,True,1559.0,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
48,48,16-06-2020 18:09:26,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0812,55035,21224,1883,,True,789.0,,,,,,,💘✨10gram MDMA ✨💘
49,49,16-06-2020 18:09:26,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,8,Тбилиси,10 гр,0.038,25739,9926,881,,True,369.0,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
50,50,16-06-2020 18:09:26,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0454,30827,11895,1047,390.0,True,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
51,51,16-06-2020 18:09:26,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.139,104629,40350,3580,,True,1500.0,,,,,,,✨💘20g MDMA💘✨
52,52,16-06-2020 18:09:26,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0617,41782,16113,1430,,True,599.0,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
53,53,16-06-2020 18:09:26,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1324,90608,34943,3100,,True,1299.0,,,,,,,50 gr georgian weed. Package on magnet
54,54,16-06-2020 18:09:26,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2547,174311,67223,5964,,True,2499.0,,,,,,,100 gr georgian weed. Package on magnet
55,55,16-06-2020 18:09:26,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2446,167406,64560,5728,,True,2400.0,,,,,,,100 gr marijuana buds
56,56,16-06-2020 18:09:26,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2039,139505,53800,4773,,True,2000.0,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
57,57,16-06-2020 18:09:26,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2548,174381,67250,5967,,True,2500.0,,,,,,,Marihuana [Shishki] [Gali] 100G
58,58,16-06-2020 18:09:26,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6014,411539,158710,14082,,True,5900.0,,,,,,,180 gr marihuana persoalno
59,59,16-06-2020 18:09:26,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.4372,296448,114325,10143,,True,4250.0,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
60,60,16-06-2020 18:09:26,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4689,320861,123740,10979,,True,4600.0,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
61,61,16-06-2020 18:09:26,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7645,523143,201750,17900,,True,7500.0,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
62,62,16-06-2020 18:09:26,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8664,592895,228650,20287,,True,8500.0,,,,,,,10000sht marki 25i-nbome. predoplata
63,63,16-06-2020 18:09:26,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0185,13950,5380,477,,True,200.0,,,,,,,KURYER..500RUB.+BONUS
64,64,16-06-2020 18:09:26,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0204,13950,5380,477,,True,200.0,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
65,65,16-06-2020 18:09:26,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5429,1046286,403500,35801,,True,15000.0,,,,,,,Vakansija optovogo kur'era na mef
66,66,16-06-2020 18:11:24,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,нет,3,Батуми,5 гр,0.0232,16043,6187,549,,,230.0,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
67,67,16-06-2020 18:11:24,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0428,29296,11298,1002,,,420.0,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
68,68,16-06-2020 18:11:24,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.165,112990,51992,3835,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
69,69,16-06-2020 18:11:24,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2613,178900,82321,6071,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
70,70,16-06-2020 18:11:24,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6975,2690,239,,,100.0,,,,,True,,kur'er v Batumi
71,71,16-06-2020 18:11:24,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0232,17438,6725,597,,,250.0,,,,,True,,Rabota kladmenom. Tol'ko shishki.
72,72,16-06-2020 18:11:24,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0232,17438,6725,597,,,250.0,,,,,True,,Ischu kur'era v Gruzii!
73,73,16-06-2020 18:11:24,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,2,Батуми,5 гр,0.0204,13950,5380,477,,,200.0,,,,,True,,Kur'er Batumi na marihuanu
74,74,16-06-2020 18:11:24,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5419999999999998,1046286,403500,35801,,,15000.0,,,,,True,,Vakansija optovogo kur'era na mef
75,75,16-06-2020 18:11:24,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0509,34876,13450,1193,,,500.0,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
