,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Nadzaladevi,Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
80,08-04-2020 02:03:55,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.611,347093,125350,11739,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
81,08-04-2020 02:03:55,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.9961,565913,204375,19140,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
82,08-04-2020 02:03:55,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.129,641368,231625,21692,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
83,08-04-2020 02:03:55,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0241,15091,5450,510,200,,,,,,,,,,KURYER..500RUB.+BONUS
84,08-04-2020 02:03:55,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0266,15091,5450,510,200,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
85,08-04-2020 02:03:55,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0332,18864,6813,638,250,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
86,08-04-2020 02:03:55,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0104,1131825,408750,38280,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
87,08-04-2020 02:05:19,Batumi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,2,нет,Батуми,2 гр,0.0046,2867,1036,97,38,,,,,,,True,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
88,08-04-2020 02:05:19,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2926,166001,59950,5614,2200,,,,,,,True,,,[100g] SPAIN HASH
89,08-04-2020 02:05:19,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,1,12,Батуми,5 гр,0.0242,15091,5450,510,200,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
