,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
49,49,18-07-2020 17:06:45,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0737,50200,19355,1680,700.0,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
50,50,18-07-2020 17:06:45,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0442,30120,11613,1008,420.0,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
51,51,18-07-2020 17:06:45,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0843,57371,22120,1920,800.0,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
52,52,18-07-2020 17:06:45,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram,,1,10,Тбилиси,10 гр,0.0364,27251,10507,912,380.0,True,,,,,,,,,Northern Lights Regular [budsonly] 10gram
53,53,18-07-2020 17:06:45,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2344,159563,61521,5339,2225.0,True,,,,,,,,,Amfetamin [White] [Import] 10G
54,54,18-07-2020 17:06:45,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0533,35940,13838,1202,,True,,440.0,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
55,55,18-07-2020 17:06:45,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0472,31856,12266,1065,,True,,390.0,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
56,56,18-07-2020 17:06:45,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0623,46614,17973,1560,650.0,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
57,57,18-07-2020 17:06:45,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2528,172113,66360,5759,2400.0,True,,,,,,,,,100 gr marijuana buds
58,58,18-07-2020 17:06:45,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2634,179285,69125,5999,2500.0,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
59,59,18-07-2020 17:06:45,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6215,423112,163135,14156,5900.0,True,,,,,,,,,180 gr marihuana persoalno
60,60,18-07-2020 17:06:45,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8954,609568,235025,20395,8500.0,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
61,61,18-07-2020 17:06:45,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0192,14343,5530,480,200.0,True,,,,,,,,,KURYER..500RUB.+BONUS
62,62,18-07-2020 17:06:45,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0263,17928,6913,600,250.0,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
63,63,18-07-2020 17:06:45,Tbilisi,ebadfc162f,"Galiak ищет курьерa толка за марихуани в тбилиси, клад 7$. Залог с 200$",,1,нет,Тбилиси,10 гр,0.0192,14343,5530,480,200.0,True,,,,,,,,,"Galiak ischet kur'era tolka za marihuani v tbilisi, klad 7$. Zalog s 200$"
