,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Тбилиси,Vake,€,Didube,Авлобари,Центр,Батуми,Кутаиси,desc_en
64,64,04-04-2020 19:50:10,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,,нет,5,Тбилиси,5 гр,0.0707,38011,13521,1264,489.0,,True,,,,,,,,💘✨5g. MDMA ✨💘
65,65,04-04-2020 19:50:10,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,,нет,5,Тбилиси,5 гр,0.0273,14691,5226,488,189.0,,True,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
66,66,04-04-2020 19:50:53,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,,нет,5,Тбилиси,5 гр,0.0273,14691,5226,488,189.0,,True,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
67,67,04-04-2020 19:50:53,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,,нет,1,Тбилиси,10 гр,0.1288,69959,24885,2326,900.0,,True,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
68,68,04-04-2020 19:50:53,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,,нет,5,Тбилиси,10 гр,0.1002,54413,19355,1809,700.0,,True,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
69,69,04-04-2020 19:50:53,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,,нет,6,Тбилиси,10 гр,0.0458,24874,8848,827,320.0,,True,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
70,70,04-04-2020 19:50:53,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,,нет,5,Тбилиси,10 гр,0.1145,62186,22120,2068,800.0,,True,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
71,71,04-04-2020 19:50:53,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,,нет,1,Тбилиси,10 гр,0.3185,172955,61521,5751,2225.0,,True,,,,,,,,Amfetamin [White] [Import] 10G
72,72,04-04-2020 19:50:53,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,,нет,8,Тбилиси,10 гр,0.2095,112634,40065,3745,1449.0,,True,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
73,73,04-04-2020 19:50:53,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,,нет,10,Тбилиси,10 гр,0.0533,28683,10203,954,369.0,,True,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
74,74,04-04-2020 19:50:53,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,,нет,2,Тбилиси,10 гр,0.0432,23242,8267,773,299.0,,True,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
75,75,04-04-2020 19:50:53,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,,нет,8,Тбилиси,20 гр,0.0714,38789,13797,1290,499.0,,True,,,,,,,,20 gr Indica marijuana buds (hight quality)
76,76,04-04-2020 19:50:53,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,,нет,9,Тбилиси,20 гр,0.0866,46562,16562,1548,599.0,,True,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
77,77,04-04-2020 19:50:53,Tbilisi,e56bb6ca93,50gr Georgian Indica dominant buds. The Best PRICE,True,,нет,13,Тбилиси,50 гр,0.14300000000000002,77655,27622,2582,999.0,,True,,,,,,,,50gr Georgian Indica dominant buds. The Best PRICE
78,78,04-04-2020 19:50:53,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,,нет,1,Тбилиси,50 гр,0.1574,85506,30415,2843,1100.0,,True,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
79,79,04-04-2020 19:50:53,Tbilisi,cb721d4bca,100 gr marijuana buds,,,нет,1,Тбилиси,100 гр,0.3435,186558,66360,6203,2400.0,,True,,,,,,,,100 gr marijuana buds
80,80,04-04-2020 19:50:53,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,,нет,1,Тбилиси,100 гр,0.2863,155465,55300,5169,2000.0,,True,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
81,81,04-04-2020 19:50:53,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,,нет,1,Тбилиси,100 гр,0.2891,155465,55300,5169,2000.0,,True,,,,,,,,SUBOXIN - HQ - 100 G.
82,82,04-04-2020 19:50:53,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,,1,1,Тбилиси,100 гр,0.3578,194331,69125,6462,2500.0,,True,,,,,,,,Marihuana [Shishki] [Gali] 100G
