,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Zahesi,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
63,01-07-2020 07:23:59,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,7,Тбилиси,5 гр,0.1322,87981,33411,3013,1249,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
64,01-07-2020 07:23:59,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,14,Тбилиси,5 гр,0.0212,14088,5350,482,200,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
65,01-07-2020 07:23:59,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0943,63397,24075,2171,900,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
66,01-07-2020 07:23:59,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0576,38743,14713,1327,550,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
67,01-07-2020 07:23:59,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0734,49309,18725,1689,700,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
68,01-07-2020 07:23:59,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.044,29585,11235,1013,420,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
69,01-07-2020 07:25:26,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0838,56353,21400,1930,800,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
70,01-07-2020 07:25:26,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,10,Тбилиси,10 гр,0.0346,23246,8828,796,330,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
71,01-07-2020 07:25:26,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2332,156732,59519,5367,2225,,,,,,,,,,Amfetamin [White] [Import] 10G
72,01-07-2020 07:25:26,Tbilisi,A3I9,Joookerrr,Сирец (геройн) очень сильный 10 гр,True,нет,2,Тбилиси,10 гр,0.2305,154971,58850,5307,2200,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
73,01-07-2020 07:25:26,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2645,176033,66848,6028,2499,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
74,01-07-2020 07:25:26,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,15,Тбилиси,10 гр,0.0423,28177,10700,965,400,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
75,01-07-2020 07:25:26,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,1,Тбилиси,11 гр,0.0462,30807,11720,1056,,,,,,390,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
76,01-07-2020 07:25:26,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,20,Тбилиси,20 гр,0.0847,56353,21400,1930,800,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
77,01-07-2020 07:25:26,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2515,169059,64200,5790,2400,,,,,,,,,,100 gr marijuana buds
78,01-07-2020 07:25:26,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2096,140883,53500,4825,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
79,01-07-2020 07:25:26,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.262,176103,66875,6031,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
80,01-07-2020 07:25:26,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6183,415604,157825,14233,5900,,,,,,,,,,180 gr marihuana persoalno
81,01-07-2020 07:25:26,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.482,324030,123050,11097,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
