,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
45,21-05-2020 16:52:52,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0726,49647,18872,1686,700,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
46,21-05-2020 16:52:52,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0436,29788,11323,1012,420,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
47,21-05-2020 16:52:52,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,True,нет,38,Тбилиси,10 гр,0.0104,7092,2696,241,100,,,,,,,,,,10G Hybrid Marijuana Leafs
48,21-05-2020 16:52:52,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.083,56739,21568,1927,800,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
49,21-05-2020 16:52:52,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0301,20568,7818,699,290,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
50,21-05-2020 16:52:52,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2307,157806,59986,5359,2225,,,,,,,,,,Amfetamin [White] [Import] 10G
51,21-05-2020 16:52:52,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1633,110571,42031,3755,1559,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
52,21-05-2020 16:52:52,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0387,26171,9948,889,369,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
53,21-05-2020 16:52:52,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.033,22341,8492,759,315,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
54,21-05-2020 16:52:52,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5237,354620,134800,12044,5000,,,,,,,,,,METADON - 20 G.
55,21-05-2020 16:52:52,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0627,42483,16149,1443,599,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
56,21-05-2020 16:52:52,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1141,78016,29656,2650,1100,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
57,21-05-2020 16:52:52,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2489,170218,64704,5781,2400,,,,,,,,,,100 gr marijuana buds
58,21-05-2020 16:52:52,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2074,141848,53920,4817,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
59,21-05-2020 16:52:52,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2593,177310,67400,6022,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
60,21-05-2020 16:52:52,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6119,418452,159064,14211,5900,,,,,,,,,,180 gr marihuana persoalno
61,21-05-2020 16:52:52,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.477,326250,124016,11080,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
62,21-05-2020 16:52:52,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7778,531930,202200,18065,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
