,Unnamed: 0,time_stamp,region,sell_code,description,Авлобари,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Varketili,Old Tbilisi (Старый город),Saburtalo,Nadzaladevi,Gldani,Vazisubani,€,Центр,Батуми,Кутаиси,desc_en
69,69,03-05-2020 14:14:42,Tbilisi,f8a875c191,METADON - 20 G.,,,нет,1,Тбилиси,20 гр,0.525,363632,136000,12072,5000.0,True,,,,,,,,,,,METADON - 20 G.
70,70,03-05-2020 14:14:42,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,,нет,9,Тбилиси,20 гр,0.0629,43563,16293,1446,599.0,True,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
71,71,03-05-2020 14:14:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,,нет,1,Тбилиси,50 гр,0.1144,79999,29920,2656,1100.0,True,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
72,72,03-05-2020 14:14:42,Tbilisi,52fe6d0af9,White Russia Fem Buds Only 21%+ THC 50G,,,нет,1,Тбилиси,50 гр,0.1441,101817,38080,3380,1400.0,True,,,,,,,,,,,White Russia Fem Buds Only 21%+ THC 50G
73,73,03-05-2020 14:14:42,Tbilisi,cb721d4bca,100 gr marijuana buds,,,нет,1,Тбилиси,100 гр,0.2495,174543,65280,5794,2400.0,True,,,,,,,,,,,100 gr marijuana buds
74,74,03-05-2020 14:14:42,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,,,нет,2,Тбилиси,100 гр,0.3119,218179,81600,7243,3000.0,True,,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
75,75,03-05-2020 14:14:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,,нет,1,Тбилиси,100 гр,0.2079,145453,54400,4829,2000.0,True,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
76,76,03-05-2020 14:14:42,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,,1,1,Тбилиси,100 гр,0.2599,181816,68000,6036,2500.0,True,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
77,77,03-05-2020 14:14:42,Tbilisi,69672fee0d,180 gr марихуана персоално,,,нет,1,Тбилиси,180 гр,0.6134,429085,160480,14244,5900.0,True,,,,,,,,,,,180 gr marihuana persoalno
78,78,03-05-2020 14:14:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,,нет,1,Тбилиси,250 гр,0.4782,334541,125120,11106,4600.0,True,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
79,79,03-05-2020 14:14:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,,нет,1,Тбилиси,500 гр,0.7797,545447,204000,18107,7500.0,True,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
80,80,03-05-2020 14:14:42,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,,нет,3,Тбилиси,10000 гр,0.8837,618174,231200,20522,8500.0,True,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
81,81,03-05-2020 14:14:42,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,,2,нет,Тбилиси,1 гр,0.0189,14545,5440,483,200.0,True,,,,,,,,,,,KURYER..500RUB.+BONUS
82,82,03-05-2020 14:14:42,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,,нет,1,Тбилиси,1 гр,0.0208,14545,5440,483,200.0,True,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
83,83,03-05-2020 14:14:42,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,,нет,1,Тбилиси,1 гр,0.026000000000000002,18182,6800,604,250.0,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
84,84,03-05-2020 14:14:42,Tbilisi,54915c4374,Работа на марки (курьер),,,нет,1,Тбилиси,25 гр,0.0208,14545,5440,483,200.0,True,,,,,,,,,,,Rabota na marki (kur'er)
