,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Vazisubani,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
72,72,15-05-2020 10:07:14,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0189,5380,490,14786,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
73,73,15-05-2020 10:07:14,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0208,5380,490,14786,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
74,74,15-05-2020 10:07:14,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.026000000000000002,6725,613,18482,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
75,75,15-05-2020 10:07:14,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5716,403500,36768,1108947,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
76,76,15-05-2020 10:08:51,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2285,59180,5393,162646,2200.0,,,,,,,True,,,[100g] SPAIN HASH
77,77,15-05-2020 10:08:51,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1588,51992,3751,112990,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
78,78,15-05-2020 10:08:51,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2514,82321,5939,178900,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
79,79,15-05-2020 10:08:51,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,2690,245,7393,100.0,,,,,,,True,,,kur'er v Batumi
80,80,15-05-2020 10:08:51,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0236,6725,613,18482,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
81,81,15-05-2020 10:08:51,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0236,6725,613,18482,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
82,82,15-05-2020 10:08:51,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5722,403500,36768,1108947,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
83,83,15-05-2020 10:08:51,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0519,13450,1226,36965,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
84,84,15-05-2020 10:10:23,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0499,13047,1189,35856,485.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
85,85,15-05-2020 10:10:23,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0208,5380,490,14786,200.0,,,,,,,,,True,Rabota na marki (kur'er)
