,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,€,Батуми,Кутаиси,desc_en
68,08-05-2020 19:52:51,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1991,147745,54220,4907,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
69,08-05-2020 19:53:29,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1991,147745,54220,4907,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
70,08-05-2020 19:53:29,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2488,184681,67775,6133,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
71,08-05-2020 19:53:29,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5872,435848,159949,14474,5900,,,,,,,,,,,180 gr marihuana persoalno
72,08-05-2020 19:53:29,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4579,339814,124706,11285,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
73,08-05-2020 19:53:29,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7465,554044,203325,18400,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
74,08-05-2020 19:53:29,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.846,627916,230435,20853,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
75,08-05-2020 19:53:29,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0181,14775,5422,491,200,,,,,,,,,,,KURYER..500RUB.+BONUS
76,08-05-2020 19:53:29,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0199,14775,5422,491,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
77,08-05-2020 19:53:29,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0249,18468,6778,613,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
