,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Дигоми,Nadzaladevi,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
65,65,23-06-2020 15:29:48,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0424,28912,11235,997,,True,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
66,66,23-06-2020 15:29:48,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0808,55070,21400,1900,,True,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
67,67,23-06-2020 15:29:48,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,10,Тбилиси,10 гр,0.0333,22716,8828,784,,True,330.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
68,68,23-06-2020 15:29:48,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2247,153164,59519,5284,,True,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
69,69,23-06-2020 15:29:48,Tbilisi,54915c4374,Марки н-боом 10 шт.,,нет,9,Тбилиси,10 гр,0.0101,6884,2675,237,,True,100.0,,,,,,,,,,Marki n-boom 10 sht.
70,70,23-06-2020 15:30:42,Tbilisi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Тбилиси,10 гр,0.2219,151443,58850,5225,,True,2200.0,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
71,71,23-06-2020 15:30:42,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.1588,107318,41703,3702,,True,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
72,72,23-06-2020 15:30:42,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0804,54313,21106,1874,,True,789.0,,,,,,,,,,💘✨10gram MDMA ✨💘
73,73,23-06-2020 15:30:42,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,8,Тбилиси,10 гр,0.0376,25401,9871,876,,True,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
74,74,23-06-2020 15:30:42,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,2,Тбилиси,11 гр,0.0447,30296,11786,1038,390.0,True,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
75,75,23-06-2020 15:30:42,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1375,103256,40125,3562,,True,1500.0,,,,,,,,,,✨💘20g MDMA💘✨
76,76,23-06-2020 15:30:42,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.061,41234,16023,1423,,True,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
77,77,23-06-2020 15:30:42,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.131,89420,34748,3085,,True,1299.0,,,,,,,,,,50 gr georgian weed. Package on magnet
78,78,23-06-2020 15:30:42,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.252,172025,66848,5935,,True,2499.0,,,,,,,,,,100 gr georgian weed. Package on magnet
79,79,23-06-2020 15:30:43,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.242,165210,64200,5700,,True,2400.0,,,,,,,,,,100 gr marijuana buds
80,80,23-06-2020 15:30:43,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2017,137675,53500,4750,,True,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
81,81,23-06-2020 15:30:43,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2521,172094,66875,5937,,True,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
82,82,23-06-2020 15:30:43,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.595,406142,157825,14011,,True,5900.0,,,,,,,,,,180 gr marihuana persoalno
83,83,23-06-2020 15:30:43,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.4325,292560,113688,10093,,True,4250.0,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
84,84,23-06-2020 15:30:43,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4639,316653,123050,10924,,True,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
85,85,23-06-2020 15:30:43,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7563,516282,200625,17811,,True,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
