,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Saburtalo,Vake,Didube,.,Дигоми,Nadzaladevi,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
38,26-04-2020 23:13:25,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.1128,64928,23767,2140,869,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
39,26-04-2020 23:13:25,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0245,14121,5169,466,189,,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
40,26-04-2020 23:13:25,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0247,14196,5197,468,190,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
41,26-04-2020 23:13:25,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0635,36536,13374,1204,489,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
42,26-04-2020 23:13:25,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0245,14121,5169,466,189,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
43,26-04-2020 23:13:25,Tbilisi,A3I9,Joookerrr,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,5,Тбилиси,10 гр,0.0166,9630,3540,318,,,,,,,,,120,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
44,26-04-2020 23:13:25,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1157,67245,24615,2217,900,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
45,26-04-2020 23:13:25,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.09,52301,19145,1724,700,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
46,26-04-2020 23:13:25,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0411,23909,8752,788,320,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
47,26-04-2020 23:13:25,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1028,59773,21880,1970,800,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
48,26-04-2020 23:13:25,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.286,166244,60854,5480,2225,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
49,26-04-2020 23:13:25,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1881,108264,39630,3569,1449,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
50,26-04-2020 23:13:25,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0479,27570,10092,909,369,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
51,26-04-2020 23:13:25,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0388,22340,8178,736,299,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
52,26-04-2020 23:13:25,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.649,373582,136750,12315,5000,,,,,,,,,,,,,METADON - 20 G.
53,26-04-2020 23:13:25,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0778,44755,16383,1475,599,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
54,26-04-2020 23:13:25,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1414,82188,30085,2709,1100,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
55,26-04-2020 23:13:25,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3085,179319,65640,5911,2400,,,,,,,,,,,,,100 gr marijuana buds
56,26-04-2020 23:13:25,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.257,149433,54700,4926,2000,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
57,26-04-2020 23:13:25,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3213,186791,68375,6158,2500,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
58,26-04-2020 23:13:25,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.7583,440826,161365,14532,5900,,,,,,,,,,,,,180 gr marihuana persoalno
59,26-04-2020 23:13:25,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5912,343695,125810,11330,4600,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
60,26-04-2020 23:13:25,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.9639,560372,205125,18473,7500,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
61,26-04-2020 23:13:25,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.0924,635089,232475,20936,8500,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
62,26-04-2020 23:13:25,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0234,14943,5470,493,200,,,,,,,,,,,,,KURYER..500RUB.+BONUS
63,26-04-2020 23:13:25,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0257,14943,5470,493,200,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
