,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Didube,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
79,79,16-07-2020 19:38:30,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,10,нет,Батуми,2 гр,0.0044,2992,1155,101,,,42.0,,,,,,,True,,,Melkie shishki (Indica) 2g
80,80,16-07-2020 19:38:30,Batumi,75738ec358,ASTRAL 3g,,2,нет,Батуми,3 гр,0.0259,19232,7425,648,,,270.0,,,,,,,True,,,ASTRAL 3g
81,81,16-07-2020 19:38:30,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0377,25182,9719,851,310.0,,,,,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
82,82,16-07-2020 19:38:30,Batumi,7c2ccfb3f3,Мефедрон 3г,,нет,3,Батуми,3 гр,0.0336,24931,9625,841,,,350.0,,,,,,,True,,,Mefedron 3g
83,83,16-07-2020 19:38:30,Batumi,7c2ccfb3f3,Таблы Punisher 300 mg. 5шт.,,нет,5,Батуми,5 гр,0.0403,29917,11550,1009,,,420.0,,,,,,,True,,,Tably Punisher 300 mg. 5sht.
84,84,16-07-2020 19:38:30,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0535,35742,13794,1208,440.0,,,,,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
85,85,16-07-2020 19:38:30,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0474,31680,12227,1070,390.0,,,,,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
86,86,16-07-2020 19:38:30,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0485,32411,12509,1095,399.0,,,,,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
87,87,16-07-2020 19:38:30,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1676,112990,51992,3833,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
88,88,16-07-2020 19:38:30,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2654,178900,82321,6068,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
89,89,16-07-2020 19:38:30,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7123,2750,240,,,100.0,,,,,,,True,,,kur'er v Batumi
90,90,16-07-2020 19:38:30,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.024,17808,6875,600,,,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
91,91,16-07-2020 19:38:30,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.024,17808,6875,600,,,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
92,92,16-07-2020 19:38:30,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0211,14246,5500,480,,,200.0,,,,,,,True,,,Kur'er Batumi na marihuanu
93,93,16-07-2020 19:38:30,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5995,1068465,412500,36024,,,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
94,94,16-07-2020 19:38:30,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0528,35616,13750,1201,,,500.0,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
95,95,16-07-2020 19:40:07,Kutaisi,b7446e2cca,CUSTOM Шишки 230g 3in1,,1,нет,Кутаиси,230 гр,0.446,300595,116050,10135,,,4220.0,,,,,,,,,True,CUSTOM Shishki 230g 3in1
