,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Didube,Nadzaladevi,Авлобари,Батуми,Центр,Кутаиси,desc_en
70,70,04-03-2020 15:15:18,Batumi,adf2d19b92,"Метадон прямиком с Ленинграда 3+0,5гр",,нет,1,Батуми,3.5 гр,0.1345,89699,33845,3016,1350.0,,,,,,,True,,"Metadon prjamikom s Leningrada 3+0,5gr"
71,71,04-03-2020 15:15:18,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,17,Батуми,5 гр,0.0199,13289,5014,447,200.0,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
72,72,04-03-2020 15:15:18,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2215,132887,50140,4468,2000.0,,,,,,True,,,SUBOXIN - HQ - 100 G.
73,73,04-03-2020 15:15:18,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1661,99666,37605,3351,1500.0,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
74,74,04-03-2020 15:15:18,Batumi,d4df7908c3,"Ищу курьера (кладчик, кладмен)",,1,нет,Батуми,1 гр,0.0111,6644,2507,223,100.0,,,,,,True,,,"Ischu kur'era (kladchik, kladmen)"
75,75,04-03-2020 15:15:18,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.005,3322,1254,112,50.0,,,,,,True,,,kur'er v Batumi
76,76,04-03-2020 15:15:18,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0249,16611,6268,559,250.0,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
77,77,04-03-2020 15:15:18,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0249,16611,6268,559,250.0,,,,,,True,,,Ischu kur'era v Gruzii!
78,78,04-03-2020 15:15:18,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6594,996656,376050,33513,15000.0,,,,,,True,,,Vakansija optovogo kur'era na mef
79,79,04-03-2020 15:15:18,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0548,33222,12535,1117,500.0,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
80,80,04-03-2020 15:16:23,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,1,3,Кутаиси,3 гр,0.012,7176,2708,241,108.0,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
81,81,04-03-2020 15:16:23,Kutaisi,d4df7908c3,"Ищу курьера (кладчик, кладмен)",,1,нет,Кутаиси,1 гр,0.0111,6644,2507,223,100.0,,,,,,,,True,"Ischu kur'era (kladchik, kladmen)"
