,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
73,26-03-2020 06:09:57,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3415,194482,70625,6447,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
74,26-03-2020 06:09:57,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.207,116689,42375,3868,1500,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
75,26-03-2020 06:09:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6284,357847,129950,11863,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
76,26-03-2020 06:09:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0246,583446,211875,19342,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
77,26-03-2020 06:09:57,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1612,661239,240125,21921,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
78,26-03-2020 06:09:57,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0248,15559,5650,516,200,,,,,,,,,,KURYER..500RUB.+BONUS
79,26-03-2020 06:09:57,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",True,1,нет,Тбилиси,1 гр,0.0273,15559,5650,516,200,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
80,26-03-2020 06:09:57,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0186,11669,4238,387,150,,,,,,,,,,Rabota na marki (kur'er)
81,26-03-2020 06:09:57,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0273,15559,5650,516,200,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
82,26-03-2020 06:09:57,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0342,19448,7063,645,250,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
83,26-03-2020 06:09:57,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0679,1166892,423750,38684,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
84,26-03-2020 06:11:09,Batumi,V4T,COCAcoLA,METHADONE 0.25 THE BEST QUALITY VHQ,,3,нет,Батуми,0.25 гр,0.0274,15559,5650,516,200,,,,,,,True,,,METHADONE 0.25 THE BEST QUALITY VHQ
85,26-03-2020 06:11:09,Batumi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 грамм",,2,нет,Батуми,0.7 гр,0.0162,10098,3672,335,,,,120,,,,,True,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gramm"
86,26-03-2020 06:11:09,Batumi,V4T,COCAcoLA,COCAINE 1 gr THE BEST COCO IN GEORGIA,,3,нет,Батуми,1 гр,0.0374,23338,8475,774,300,,,,,,,True,,,COCAINE 1 gr THE BEST COCO IN GEORGIA
87,26-03-2020 06:11:09,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,12,нет,Батуми,1 гр,0.0237,14781,5368,490,190,,,,,,,,True,,NZT-52 limited 1 g muka
88,26-03-2020 06:11:09,Batumi,72B,CHINATOWN,NZT-52 limited 2г мука,,4,нет,Батуми,2 гр,0.0424,26450,9605,877,340,,,,,,,,True,,NZT-52 limited 2g muka
89,26-03-2020 06:11:09,Batumi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,3,нет,Батуми,6 гр,0.0118,7390,2684,245,95,,,,,,,,True,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
90,26-03-2020 06:11:09,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3018,171144,62150,5674,2200,,,,,,,,True,,[100g] SPAIN HASH
