,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
69,69,03-03-2020 02:08:14,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1628,99491,37410,3351,1500.0,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
70,70,03-03-2020 02:08:14,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4943,305106,114724,10277,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
71,71,03-03-2020 02:08:14,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8059,497456,187050,16757,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
72,72,03-03-2020 02:08:14,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9133,563783,211990,18991,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
73,73,03-03-2020 02:08:14,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0195,13265,4988,447,200.0,,,,,,,,,KURYER..500RUB.+BONUS
74,74,03-03-2020 02:08:14,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0195,13265,4988,447,200.0,,,,,,,,,Trebuetsja Kur'er
75,75,03-03-2020 02:08:14,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0215,13265,4988,447,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
76,76,03-03-2020 02:08:14,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0269,16582,6235,559,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
77,77,03-03-2020 02:08:14,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6264,994911,374100,33513,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
78,78,03-03-2020 02:09:05,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1612,99491,37410,3351,1500.0,,,,,,True,,,Skunk! 50 gr.
79,79,03-03-2020 02:09:05,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,2,5,Батуми,0.27 гр,0.0293,17908,6734,603,270.0,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
80,80,03-03-2020 02:09:05,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,17,Батуми,5 гр,0.0195,13265,4988,447,200.0,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
81,81,03-03-2020 02:09:05,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.217,132655,49880,4468,2000.0,,,,,,True,,,SUBOXIN - HQ - 100 G.
82,82,03-03-2020 02:09:05,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1628,99491,37410,3351,1500.0,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
83,83,03-03-2020 02:09:05,Batumi,d4df7908c3,"Ищу курьера (кладчик, кладмен)",,1,нет,Батуми,1 гр,0.0109,6633,2494,223,100.0,,,,,,True,,,"Ischu kur'era (kladchik, kladmen)"
84,84,03-03-2020 02:09:05,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0049,3316,1247,112,50.0,,,,,,True,,,kur'er v Batumi
85,85,03-03-2020 02:09:05,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0049,3316,1247,112,50.0,,,,,,True,,,Vakansija Kur'era v Batumi
86,86,03-03-2020 02:09:05,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0074,5000,2301,168,,,,,,,True,,,Vakansija Kur'era v Batumi
87,87,03-03-2020 02:09:05,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0244,16582,6235,559,250.0,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
88,88,03-03-2020 02:09:05,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0244,16582,6235,559,250.0,,,,,,True,,,Ischu kur'era v Gruzii!
89,89,03-03-2020 02:09:05,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6264,994911,374100,33513,15000.0,,,,,,True,,,Vakansija optovogo kur'era na mef
90,90,03-03-2020 02:09:05,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0537,33164,12470,1117,500.0,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
91,91,03-03-2020 02:10:13,Kutaisi,d4df7908c3,Шишки / weeds Afghan Kush - 2г,,1,нет,Кутаиси,2 гр,0.008,4908,1846,165,74.0,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
92,92,03-03-2020 02:10:13,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,1,3,Кутаиси,3 гр,0.0117,7163,2694,241,108.0,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
93,93,03-03-2020 02:10:13,Kutaisi,d4df7908c3,"Ищу курьера (кладчик, кладмен)",,1,нет,Кутаиси,1 гр,0.0109,6633,2494,223,100.0,,,,,,,,True,"Ischu kur'era (kladchik, kladmen)"
