,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Varketili,Gldani,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Дигоми,Vazisubani,Nadzaladevi,Tbilisis Zgva,€,Батуми,Центр,Кутаиси,desc_en
48,48,24-04-2020 05:21:19,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1911,108862,39485,3577,1449.0,,,,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
49,49,24-04-2020 05:21:19,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0487,27723,10055,911,369.0,,,,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
50,50,24-04-2020 05:21:19,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0394,22464,8148,738,299.0,,,,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
51,51,24-04-2020 05:21:19,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,нет,1,Тбилиси,20 гр,0.0529,30427,11036,1000,405.0,,,,,,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
52,52,24-04-2020 05:21:19,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.079,45002,16323,1479,599.0,,,,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
53,53,24-04-2020 05:21:19,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1436,82642,29975,2716,1100.0,,,,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
54,54,24-04-2020 05:21:19,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3134,180310,65400,5925,2400.0,,,,,,,,,,,,,,,,100 gr marijuana buds
55,55,24-04-2020 05:21:19,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2612,150258,54500,4937,2000.0,,,,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
56,56,24-04-2020 05:21:19,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3265,187823,68125,6172,2500.0,,,,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
57,57,24-04-2020 05:21:19,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.7705,443261,160775,14565,5900.0,,,,,,,,,,,,,,,,180 gr marihuana persoalno
