,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,desc_en
62,07-07-2020 07:19:26,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.6091,1070114,408000,36498,,True,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
63,07-07-2020 07:19:26,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0532,35670,13600,1217,,,500,,,,True,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
64,07-07-2020 07:21:39,Batumi,GGVQZ,KARAVANos,Мелкие шишки (Indica) 2г,,4,нет,Батуми,2 гр,0.0051,3424,1306,117,,,48,,,,,,,,True,,Melkie shishki (Indica) 2g
65,07-07-2020 07:21:39,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0472,31418,12012,1072,390,,,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
66,07-07-2020 07:21:39,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,4,Батуми,11 гр,0.0508,33834,12936,1155,420,,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
67,07-07-2020 07:21:39,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1682,112990,51992,3844,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
68,07-07-2020 07:21:39,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2664,178900,82321,6086,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
69,07-07-2020 07:21:39,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0097,7134,2720,243,,,100,,,,,,,,True,,kur'er v Batumi
70,07-07-2020 07:21:39,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0241,17835,6800,608,,,250,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
71,07-07-2020 07:21:39,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0241,17835,6800,608,,,250,,,,,,,,True,,Ischu kur'era v Gruzii!
72,07-07-2020 07:21:39,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0212,14268,5440,487,,,200,,,,,,,,True,,Kur'er Batumi na marihuanu
73,07-07-2020 07:21:39,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6079,1070114,408000,36498,,,15000,,,,,,,,True,,Vakansija optovogo kur'era na mef
74,07-07-2020 07:21:39,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0531,35670,13600,1217,,,500,,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
