,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Nadzaladevi,€,Батуми,Центр,desc_en
51,51,16-06-2020 13:47:05,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,,нет,1,Тбилиси,250 гр,0.4698,323817,123740,10979,4600.0,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
52,52,16-06-2020 13:47:05,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,,нет,1,Тбилиси,500 гр,0.7659,527963,201750,17900,7500.0,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
53,53,16-06-2020 13:47:05,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,,нет,3,Тбилиси,10000 гр,0.8681,598358,228650,20287,8500.0,,,,,,10000sht marki 25i-nbome. predoplata
54,54,16-06-2020 13:47:05,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,,2,нет,Тбилиси,1 гр,0.0186,14079,5380,477,200.0,,,,,,KURYER..500RUB.+BONUS
55,55,16-06-2020 13:47:05,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,,нет,1,Тбилиси,1 гр,0.0204,14079,5380,477,200.0,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
56,56,16-06-2020 13:47:05,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,,нет,1,Тбилиси,400 гр,1.5458,1055925,403500,35801,15000.0,,,,,,Vakansija optovogo kur'era na mef
57,57,16-06-2020 13:48:51,Batumi,75738ec358,ASTRAL 2g,,,1,нет,Батуми,2 гр,0.0112,8447,3228,286,120.0,,,,True,,ASTRAL 2g
58,58,16-06-2020 13:48:51,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,,нет,1,Батуми,500 гр,0.1643,112990,51992,3835,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
59,59,16-06-2020 13:48:51,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,,нет,1,Батуми,1000 гр,0.2602,178900,82321,6071,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
60,60,16-06-2020 13:48:51,Batumi,22610cd7c4,курьер в Батуми,,,1,нет,Батуми,1 гр,0.0093,7040,2690,239,100.0,,,,True,,kur'er v Batumi
61,61,16-06-2020 13:48:51,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,,1,нет,Батуми,5 гр,0.0233,17599,6725,597,250.0,,,,True,,Rabota kladmenom. Tol'ko shishki.
62,62,16-06-2020 13:48:51,Batumi,ce6827deee,Ищу курьера в Грузии!,,,1,нет,Батуми,50 гр,0.0233,17599,6725,597,250.0,,,,True,,Ischu kur'era v Gruzii!
63,63,16-06-2020 13:48:51,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,,нет,2,Батуми,5 гр,0.0205,14079,5380,477,200.0,,,,True,,Kur'er Batumi na marihuanu
64,64,16-06-2020 13:48:51,Batumi,ea97036e14,Вакансия оптового курьера на меф,,,нет,1,Батуми,400 гр,1.5495,1055925,403500,35801,15000.0,,,,True,,Vakansija optovogo kur'era na mef
65,65,16-06-2020 13:48:51,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,2,Батуми,1000 гр,0.0512,35198,13450,1193,500.0,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
