,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Old Tbilisi (Старый город),$,Saburtalo,Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
48,15-05-2020 23:36:04,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1002,25749,2351,70204,,959,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
49,15-05-2020 23:36:04,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,4,Тбилиси,5 гр,0.0199,5102,466,13909,,190,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
50,15-05-2020 23:36:04,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0511,13130,1199,35798,,489,,,,,,,,💘✨5g. MDMA ✨💘
51,15-05-2020 23:36:04,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0198,5075,463,13836,,189,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
52,15-05-2020 23:36:04,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0931,24165,2206,65885,,900,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
53,15-05-2020 23:36:04,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0414,10740,980,29282,,400,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
54,15-05-2020 23:36:04,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0724,18795,1716,51244,,700,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
55,15-05-2020 23:36:04,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0435,11277,1030,30746,,420,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
56,15-05-2020 23:36:04,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,True,нет,39,Тбилиси,10 гр,0.0103,2685,245,7321,,100,,,,,,,,10G Hybrid Marijuana Leafs
57,15-05-2020 23:36:04,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0828,21480,1961,58564,,800,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
58,15-05-2020 23:36:04,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.03,7787,711,21230,,290,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
59,15-05-2020 23:36:04,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2302,59741,5454,162882,,2225,,,,,,,,Amfetamin [White] [Import] 10G
60,15-05-2020 23:36:04,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1629,41859,3821,114128,,1559,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
61,15-05-2020 23:36:04,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0386,9908,905,27013,,369,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
62,15-05-2020 23:36:04,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5225,134250,12256,366028,,5000,,,,,,,,METADON - 20 G.
63,15-05-2020 23:36:04,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0626,16083,1468,43850,,599,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
64,15-05-2020 23:36:04,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1138,29535,2696,80526,,1100,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
65,15-05-2020 23:36:04,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2483,64440,5883,175693,,2400,,,,,,,,100 gr marijuana buds
