,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Vazisubani,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
79,25-05-2020 04:21:05,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1732,112990,51992,3777,,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
80,25-05-2020 04:21:05,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2743,178900,82321,5980,,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
81,25-05-2020 04:21:05,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.01,7188,2705,240,100,,,,,,,,,,True,,,kur'er v Batumi
82,25-05-2020 04:21:05,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.025,17970,6763,600,250,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
83,25-05-2020 04:21:05,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.025,17970,6763,600,250,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
84,25-05-2020 04:21:05,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0121,7844,2945,262,,,,,,,,100,,,True,,,Rabota na marki (kur'er)
85,25-05-2020 04:21:05,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6682,1078206,405750,35979,15000,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
86,25-05-2020 04:21:05,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0551,35940,13525,1199,500,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
87,25-05-2020 04:22:21,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0529,34862,13119,1163,485,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
88,25-05-2020 04:22:21,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,3 гр,0.0281,18689,7033,624,260,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
89,25-05-2020 04:22:21,Kutaisi,2I03,bananaa,Шишки Lemon weed ТГК 25% 3.3г бтк скидка 10% !!,,2,нет,Кутаиси,3.3 гр,0.0075,5391,2029,180,75,,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 3.3g btk skidka 10% !!
90,25-05-2020 04:22:21,Kutaisi,2I03,bananaa,Шишки Lemon weed ТГК 25% 5.5г бтк скидка 10% !!,,1,нет,Кутаиси,5.5 гр,0.0115,8266,3111,276,115,,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 5.5g btk skidka 10% !!
91,25-05-2020 04:22:21,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.012,7844,2945,262,,,,,,,,100,,,,,True,Rabota na marki (kur'er)
