,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Тбилиси,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
50,25-05-2020 17:54:17,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,,нет,6,Тбилиси,50 гр,0.1433,93003,35138,3116,1299,,True,,,,,,,,,50 gr georgian weed. Package on magnet
51,25-05-2020 17:54:17,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1213,78756,29755,2638,1100,,True,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
52,25-05-2020 17:54:17,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,,нет,5,Тбилиси,100 гр,0.2756,178919,67598,5994,2499,,True,,,,,,,,,100 gr georgian weed. Package on magnet
53,25-05-2020 17:54:17,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2647,171831,64920,5757,2400,,True,,,,,,,,,100 gr marijuana buds
54,25-05-2020 17:54:17,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2206,143192,54100,4797,2000,,True,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
55,25-05-2020 17:54:17,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2757,178991,67625,5997,2500,,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
56,25-05-2020 17:54:17,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6506,422418,159595,14152,5900,,True,,,,,,,,,180 gr marihuana persoalno
57,25-05-2020 17:54:17,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.5073,329343,124430,11034,4600,,True,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
58,25-05-2020 17:54:17,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.8271,536972,202875,17990,7500,,True,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
59,25-05-2020 17:54:17,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.9374,608568,229925,20388,8500,,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
60,25-05-2020 17:54:17,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0201,14319,5410,480,200,,True,,,,,,,,,KURYER..500RUB.+BONUS
61,25-05-2020 17:54:17,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0221,14319,5410,480,200,,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
62,25-05-2020 17:54:17,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0276,17899,6763,600,250,,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
63,25-05-2020 17:54:17,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.6692,1073943,405750,35979,15000,,True,,,,,,,,,Vakansija optovogo kur'era na mef
64,25-05-2020 17:55:53,Batumi,Z9UT,Rainbow,шишки марихуаны 5G,,4,нет,Батуми,5 гр,0.0331,21479,8115,720,300,,,,,,,,True,,,shishki marihuany 5G
65,25-05-2020 17:55:53,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2429,157512,59510,5277,2200,,,,,,,,,True,,[100g] SPAIN HASH
66,25-05-2020 17:55:53,Batumi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",,нет,3,Батуми,0.5 гр,0.0094,6086,2299,204,85,,,,,,,,,True,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
67,25-05-2020 17:55:53,Batumi,A3I9,Joookerrr,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,нет,1,Батуми,1 гр,0.036,25701,9719,864,,,,,,330,,,,True,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
68,25-05-2020 17:55:53,Batumi,A3I9,Joookerrr,MDMA !! 3 грамма,,нет,2,Батуми,3 гр,0.0497,32218,12173,1079,450,,,,,,,,,True,,MDMA !! 3 gramma
69,25-05-2020 17:55:53,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1743,112990,51992,3777,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
70,25-05-2020 17:55:53,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2759,178900,82321,5980,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
71,25-05-2020 17:55:53,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.01,7160,2705,240,100,,,,,,,,,True,,kur'er v Batumi
72,25-05-2020 17:55:53,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0251,17899,6763,600,250,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
73,25-05-2020 17:55:53,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0251,17899,6763,600,250,,,,,,,,,True,,Ischu kur'era v Gruzii!
74,25-05-2020 17:55:53,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.012,7788,2945,262,,,,,,100,,,,True,,Rabota na marki (kur'er)
75,25-05-2020 17:55:53,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6714,1073943,405750,35979,15000,,,,,,,,,True,,Vakansija optovogo kur'era na mef
76,25-05-2020 17:55:53,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0552,35798,13525,1199,500,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
77,25-05-2020 17:57:27,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.053,34724,13119,1163,485,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
78,25-05-2020 17:57:27,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,3 гр,0.0281,18615,7033,624,260,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
79,25-05-2020 17:57:27,Kutaisi,2I03,bananaa,Шишки Lemon weed ТГК 25% 3.3г бтк скидка 10% !!,,2,нет,Кутаиси,3.3 гр,0.0075,5370,2029,180,75,,,,,,,,,,True,Shishki Lemon weed TGK 25% 3.3g btk skidka 10% !!
80,25-05-2020 17:57:27,Kutaisi,2I03,bananaa,Шишки Lemon weed ТГК 25% 5.5г бтк скидка 10% !!,,1,нет,Кутаиси,5.5 гр,0.0115,8234,3111,276,115,,,,,,,,,,True,Shishki Lemon weed TGK 25% 5.5g btk skidka 10% !!
81,25-05-2020 17:57:27,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.012,7788,2945,262,,,,,,100,,,,,True,Rabota na marki (kur'er)
