,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Didube,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
47,02-06-2020 08:48:15,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,4,Тбилиси,5 гр,0.0187,12897,4995,444,185,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
48,02-06-2020 08:48:15,Tbilisi,EIH4,San4oPan4o,!! Гашиш !! Hash 6g !!! BTC SALE 5%!!!!,True,нет,1,Тбилиси,6 гр,0.0459,32695,12663,1126,469,,,,,,,,,,,!! Gashish !! Hash 6g !!! BTC SALE 5%!!!!
49,02-06-2020 08:48:15,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.09,62740,24300,2161,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
50,02-06-2020 08:48:15,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.04,27885,10800,960,400,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
51,02-06-2020 08:48:15,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.07,48798,18900,1681,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
52,02-06-2020 08:48:15,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.042,29279,11340,1008,420,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
53,02-06-2020 08:48:15,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.08,55769,21600,1921,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
54,02-06-2020 08:48:15,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2224,155108,60075,5342,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
55,02-06-2020 08:48:15,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,2,Тбилиси,10 гр,0.1574,108680,42093,3743,1559,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
56,02-06-2020 08:48:15,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,9,Тбилиси,10 гр,0.0373,25724,9963,886,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
