,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Saburtalo,Gldani,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
59,13-03-2020 03:48:51,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.101,43676,15735,1385,590,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
60,13-03-2020 03:48:51,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0678,29611,10668,939,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
61,13-03-2020 03:48:51,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0932,40715,14669,1291,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
62,13-03-2020 03:48:51,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0337,14731,5307,467,199,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
63,13-03-2020 03:48:51,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0337,14731,5307,467,199,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
64,13-03-2020 03:48:51,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0337,14731,5307,467,199,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
65,13-03-2020 03:48:51,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0246,10734,3867,340,145,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
66,13-03-2020 03:48:51,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0338,16212,5841,514,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
67,13-03-2020 03:49:24,Tbilisi,TDSHF,THC,Hybrid Gagarin. 5g.,True,нет,2,Тбилиси,5 гр,0.0361,16286,5867,516,220,,,,,,,,,,,Hybrid Gagarin. 5g.
68,13-03-2020 03:49:24,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0518,22208,8001,704,300,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
