,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
51,51,28-04-2020 21:57:59,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.6402,372853,136250,12315,5000.0,,,,,,,,,,METADON - 20 G.
52,52,28-04-2020 21:57:59,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0767,44668,16323,1475,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
53,53,28-04-2020 21:57:59,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1394,82028,29975,2709,1100.0,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
54,54,28-04-2020 21:57:59,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3042,178969,65400,5911,2400.0,,,,,,,,,,100 gr marijuana buds
55,55,28-04-2020 21:57:59,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,True,нет,3,Тбилиси,100 гр,0.3803,223712,81750,7389,3000.0,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
56,56,28-04-2020 21:57:59,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2535,149141,54500,4926,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
57,57,28-04-2020 21:57:59,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3169,186427,68125,6158,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
58,58,28-04-2020 21:57:59,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.7479,439967,160775,14532,5900.0,,,,,,,,,,180 gr marihuana persoalno
59,59,28-04-2020 21:57:59,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5831,343025,125350,11330,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
60,60,28-04-2020 21:57:59,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.9507,559280,204375,18473,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
61,61,28-04-2020 21:57:59,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.0775,633850,231625,20936,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
62,62,28-04-2020 21:57:59,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.023,14914,5450,493,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
63,63,28-04-2020 21:57:59,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0254,14914,5450,493,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
64,64,28-04-2020 21:57:59,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0317,18643,6813,616,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
65,65,28-04-2020 21:57:59,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0254,14914,5450,493,200.0,,,,,,,,,,Rabota na marki (kur'er)
66,66,28-04-2020 21:57:59,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.9188,1118559,408750,36945,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
67,67,28-04-2020 21:59:36,Batumi,54915c4374,Батуми н-бооом 10 штук,,2,нет,Батуми,10 гр,0.0125,8077,2960,265,,,,,100.0,,,True,,,Batumi n-booom 10 shtuk
