,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
79,79,15-02-2020 22:43:06,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0246,15863,6160,550,250.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
80,80,15-02-2020 22:43:06,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.0179,12691,4928,440,200.0,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
81,81,15-02-2020 22:43:06,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1976,140000,64421,4851,,,,,,,,,,,reagent 25i nbome. 5gr
82,82,15-02-2020 22:43:06,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2687,190361,73920,6596,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
83,83,15-02-2020 22:43:06,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,7,Тбилиси,5 гр,0.0487,31029,12049,1075,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
84,84,15-02-2020 22:43:06,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0807,52000,23928,1802,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
85,85,15-02-2020 22:43:06,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0393,25318,9831,877,399.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
86,86,15-02-2020 22:43:06,Tbilisi,ce030318fd,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.1791,126907,49280,4397,2000.0,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
87,87,15-02-2020 22:43:06,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0788,50763,19712,1759,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
88,88,15-02-2020 22:43:06,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0357,25318,9831,877,399.0,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
89,89,15-02-2020 22:43:06,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2192,141184,54824,4892,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
90,90,15-02-2020 22:43:06,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.0804,51271,19909,1776,808.0,,,,,,,,,,💘✨10gram MDMA ✨💘
91,91,15-02-2020 22:43:06,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0297,18973,7367,657,299.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
92,92,15-02-2020 22:43:06,Tbilisi,c9a56b2b4a,15x Extasy Duracell 223mg MDMA.,True,нет,10,Тбилиси,15 гр,0.0448,28554,11088,989,450.0,,,,,,,,,,15x Extasy Duracell 223mg MDMA.
93,93,15-02-2020 22:43:06,Tbilisi,ce030318fd,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.2955,209397,81312,7255,3300.0,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
94,94,15-02-2020 22:43:06,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0567,38072,14784,1319,600.0,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
95,95,15-02-2020 22:43:06,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1075,76144,29568,2638,1200.0,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
96,96,15-02-2020 22:43:06,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.0851,57108,22176,1979,900.0,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
97,97,15-02-2020 22:43:06,Tbilisi,30f48d507d,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.0936,60281,23408,2089,950.0,,,,,,,,,,Hybrid Skunk! 50 gr
98,98,15-02-2020 22:43:06,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.19699999999999998,126907,49280,4397,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
99,99,15-02-2020 22:43:06,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1773,114216,44352,3957,1800.0,,,,,,,,,,Hybrid Skunk! 100 gr
100,100,15-02-2020 22:43:43,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1965,126907,49280,4397,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
101,101,15-02-2020 22:43:43,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1768,114216,44352,3957,1800.0,,,,,,,,,,Hybrid Skunk! 100 gr
102,102,15-02-2020 22:43:43,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2456,158634,61600,5497,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
103,103,15-02-2020 22:43:43,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0384,27285,10595,945,430.0,,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
104,104,15-02-2020 22:43:43,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4519,291887,113344,10114,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
105,105,15-02-2020 22:43:43,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7368,475902,184800,16490,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
