,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Saburtalo,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
55,24-02-2020 15:46:24,Tbilisi,0WE,Khachapuri,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,10 гр,0.0305,20826,7959,717,,,,300,,,,,,,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
56,24-02-2020 15:46:24,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,13,нет,Тбилиси,10 гр,0.0262,17168,6544,591,267,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
57,24-02-2020 15:46:24,Tbilisi,0V3X,arinaneb,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light",True,2,нет,Тбилиси,10 гр,0.0312,22505,8579,774,350,,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light"
58,24-02-2020 15:46:24,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0377,25720,9804,885,400,,,,,,,,,,gashish evro 10g
59,24-02-2020 15:46:24,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",True,14,нет,Тбилиси,10 гр,0.0085,6109,2328,210,95,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
60,24-02-2020 15:46:24,Tbilisi,0V3X,arinaneb,"weed gorila glue 20 gram, super duper, popcorn size",True,3,нет,Тбилиси,20 гр,0.0659,45011,17157,1548,700,,,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size"
61,24-02-2020 15:46:24,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0731,49962,19044,1719,777,,,,,,,,,,Gashish Evro 20gr
62,24-02-2020 15:46:24,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,2,5,Тбилиси,0.27 гр,0.0225,14596,5564,502,227,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
63,24-02-2020 15:46:24,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.0297,19290,7353,664,300,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
64,24-02-2020 15:46:24,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0594,38580,14706,1327,600,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
65,24-02-2020 15:46:24,Tbilisi,SF03,CRAZYFROG,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,True,нет,5,Тбилиси,2 гр,0.0164,10738,4093,369,167,,,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
66,24-02-2020 15:46:24,Tbilisi,SF03,CRAZYFROG,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,нет,4,Тбилиси,2 гр,0.0157,11454,4377,394,,,,165,,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
67,24-02-2020 15:47:08,Tbilisi,OX85,amnesia420,3g MIX / PURPLE HAZE + BLUE CHEESE + NORTHERN LIGHTS / BTC -10%,True,нет,1,Тбилиси,3 гр,0.0098,7073,2696,243,110,,,,,,,,,,3g MIX / PURPLE HAZE + BLUE CHEESE + NORTHERN LIGHTS / BTC -10%
68,24-02-2020 15:47:08,Tbilisi,9VLN,AlienShop,❄❄❄NEW! 3g. HQ COCAINE❄❄❄,True,нет,5,Тбилиси,3 гр,0.0586,37937,14461,1305,590,,,,,,,,,,❄❄❄NEW! 3g. HQ COCAINE❄❄❄
69,24-02-2020 15:47:08,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,8,Тбилиси,4 гр,0.0393,25720,9804,885,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
70,24-02-2020 15:47:08,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.054,35365,13481,1217,550,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
71,24-02-2020 15:47:08,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0236,15432,5882,531,240,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
72,24-02-2020 15:47:08,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0246,16075,6128,553,250,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
73,24-02-2020 15:47:08,Tbilisi,7B8EQ,w1ld1nd1an,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.134,96451,36765,3318,1500,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
74,24-02-2020 15:47:08,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0246,16075,6128,553,250,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
75,24-02-2020 15:47:08,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0246,16075,6128,553,250,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
76,24-02-2020 15:47:08,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0196,12796,4877,440,199,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
77,24-02-2020 15:47:08,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0246,16075,6128,553,250,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
78,24-02-2020 15:47:08,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0196,14082,5368,484,219,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
79,24-02-2020 15:47:08,Tbilisi,V4QM9,PotHero420,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,5 гр,0.0187,13439,5123,462,209,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
80,24-02-2020 15:47:08,Tbilisi,V4QM9,PotHero420,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,4,Тбилиси,5 гр,0.0187,13439,5123,462,209,,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
81,24-02-2020 15:47:08,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0246,16075,6128,553,250,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
82,24-02-2020 15:47:08,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.0179,12860,4902,442,200,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
83,24-02-2020 15:47:08,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.264,190000,87429,6536,,,,,,,,,,,reagent 25i nbome. 5gr
84,24-02-2020 15:47:08,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.268,192902,73530,6636,3000,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
85,24-02-2020 15:47:08,Tbilisi,9VLN,AlienShop,❄❄5g. HQ coco Best OFFER❄❄,True,нет,5,Тбилиси,5 гр,0.0853,55234,21054,1900,859,,,,,,,,,,❄❄5g. HQ coco Best OFFER❄❄
86,24-02-2020 15:47:08,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,1,Тбилиси,5 гр,0.0485,31443,11985,1082,489,,,,,,,,,,💘✨5g. MDMA ✨💘
87,24-02-2020 15:47:08,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0179,11574,4412,398,180,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
88,24-02-2020 15:47:08,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0795,52000,23928,1789,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
89,24-02-2020 15:47:08,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0688,45011,17157,1548,700,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
90,24-02-2020 15:47:08,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0392,25656,9779,883,399,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
91,24-02-2020 15:47:08,Tbilisi,7B8EQ,w1ld1nd1an,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,2,Тбилиси,10 гр,0.2233,160752,61275,5530,2500,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
92,24-02-2020 15:47:08,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,1,5,Тбилиси,10 гр,0.0347,22505,8579,774,350,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
93,24-02-2020 15:47:08,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0786,51441,19608,1770,800,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
94,24-02-2020 15:47:08,Tbilisi,V4QM9,PotHero420,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0356,25656,9779,883,399,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
95,24-02-2020 15:47:08,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2186,143069,54535,4922,2225,,,,,,,,,,Amfetamin [White] [Import] 10G
96,24-02-2020 15:47:08,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,5,Тбилиси,10 гр,0.0297,19226,7328,661,299,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
97,24-02-2020 15:47:08,Tbilisi,7B8EQ,w1ld1nd1an,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.2948,212193,80883,7300,3300,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
98,24-02-2020 15:47:08,Tbilisi,NVOG,ProperMgzn,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.0695,45011,17157,1548,700,,,,,,,,,,20x Extasy Duracell 223mg MDMA.
99,24-02-2020 15:47:08,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.066,45011,17157,1548,700,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
