,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
53,22-05-2020 06:56:53,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0425,28370,10784,954,400,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
54,22-05-2020 06:56:53,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0743,49647,18872,1670,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
55,22-05-2020 06:56:53,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0446,29788,11323,1002,420,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
56,22-05-2020 06:56:53,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,True,2,38,Тбилиси,10 гр,0.0143,9575,3640,322,135,,,,,,,,,,,10G Hybrid Marijuana Leafs
57,22-05-2020 06:56:53,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0849,56739,21568,1908,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
58,22-05-2020 06:56:53,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0308,20568,7818,692,290,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
59,22-05-2020 06:56:53,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2361,157806,59986,5308,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
60,22-05-2020 06:56:53,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1671,110571,42031,3719,1559,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
61,22-05-2020 06:56:53,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0396,26171,9948,880,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
62,22-05-2020 06:56:53,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0338,22341,8492,751,315,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
