,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
47,20-05-2020 21:19:28,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2495,190000,87429,6343,,,,,,,,,,,reagent 25i nbome. 5gr
48,20-05-2020 21:19:28,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2849,217014,80700,7248,3000,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
49,20-05-2020 21:19:28,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1012,69372,25797,2317,959,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
50,20-05-2020 21:19:28,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0201,13744,5111,459,190,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
51,20-05-2020 21:19:28,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,4,Тбилиси,5 гр,0.0516,35373,13154,1181,489,,,,,,,,,,💘✨5g. MDMA ✨💘
52,20-05-2020 21:19:28,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.094,65104,24210,2174,900,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
53,20-05-2020 21:19:28,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0418,28935,10760,966,400,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
54,20-05-2020 21:19:28,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0731,50637,18830,1691,700,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
55,20-05-2020 21:19:28,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0439,30382,11298,1015,420,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
56,20-05-2020 21:19:28,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,True,нет,38,Тбилиси,10 гр,0.0104,7234,2690,242,100,,,,,,,,,,10G Hybrid Marijuana Leafs
