,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vazisubani,Saburtalo,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
61,01-07-2020 23:20:31,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2549,190000,87429,6502,,,,,,,,,,,,reagent 25i nbome. 5gr
62,01-07-2020 23:20:31,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2835,211324,80880,7237,3000,,,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
63,01-07-2020 23:20:31,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,7,Тбилиси,5 гр,0.1311,87981,33673,3013,1249,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
64,01-07-2020 23:20:31,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,13,Тбилиси,5 гр,0.021,14088,5392,482,200,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
65,01-07-2020 23:20:31,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0935,63397,24264,2171,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
66,01-07-2020 23:20:31,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0572,38743,14828,1327,550,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
67,01-07-2020 23:20:31,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0728,49309,18872,1689,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
68,01-07-2020 23:20:31,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0437,29585,11323,1013,420,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
69,01-07-2020 23:21:38,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,9,Тбилиси,10 гр,0.0343,23246,8897,796,330,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
70,01-07-2020 23:21:38,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2313,156732,59986,5367,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
71,01-07-2020 23:21:38,Tbilisi,A3I9,Joookerrr,Сирец (геройн) очень сильный 10 гр,True,нет,2,Тбилиси,10 гр,0.2287,154971,59312,5307,2200,,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
72,01-07-2020 23:21:38,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,8,Тбилиси,10 гр,0.2624,176033,67373,6028,2499,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
73,01-07-2020 23:21:38,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,15,Тбилиси,10 гр,0.042,28177,10784,965,400,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
74,01-07-2020 23:21:38,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,1,Тбилиси,11 гр,0.0459,30884,11798,1056,,,,,,,390,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
75,01-07-2020 23:21:38,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,20,Тбилиси,20 гр,0.084,56353,21568,1930,800,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
76,01-07-2020 23:21:38,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2495,169059,64704,5790,2400,,,,,,,,,,,100 gr marijuana buds
