,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
46,06-02-2020 12:09:57,Tbilisi,V4T,COCAcoLA,GASHISH 3 gr лучшая цена,True,2,нет,Тбилиси,3 гр,0.0166,10424,4100,355,165,True,,,,,,,,,GASHISH 3 gr luchshaja tsena
47,06-02-2020 12:09:57,Tbilisi,QUZIV,Hollyweed,Marijuana Super Skunk leaves 3g,,2,нет,Тбилиси,3 гр,0.0035,2148,845,73,34,,,,True,,,,,,Marijuana Super Skunk leaves 3g
48,06-02-2020 12:09:57,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0316,21479,8449,732,340,,,,,,,,,,NZT-52 mind storm limited 3g muka
49,06-02-2020 12:09:57,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.0102,6254,2460,213,99,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
50,06-02-2020 12:09:57,Tbilisi,6ZR,Geogrowers,*new* Cocaine peru HQ 5 gr BTC -10 %,True,2,нет,Тбилиси,5 гр,0.0791,53698,21123,1831,850,,,,,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
51,06-02-2020 12:09:57,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0316,21479,8449,732,340,,,,,,,,,,"5 Grm MDMA , Purity A +++"
52,06-02-2020 12:09:57,Tbilisi,0WE,Khachapuri,5 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,5 гр,0.017,11508,4509,392,,,165,,,,,,,,5 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
53,06-02-2020 12:09:57,Tbilisi,LYHBG,Playboy,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,True,1,нет,Тбилиси,5 гр,0.0879,53698,21123,1831,850,,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
54,06-02-2020 12:09:57,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 5 pieces",True,4,нет,Тбилиси,5 гр,0.0155,9476,3728,323,150,,,,,,,,,,"LSD - 250 ug, 5 pieces"
55,06-02-2020 12:09:57,Tbilisi,LYHBG,Playboy,NEW !!! 5G White Widow !!! NEW,True,2,нет,Тбилиси,5 гр,0.0159,9729,3827,332,154,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
56,06-02-2020 12:09:57,Tbilisi,0V3X,arinaneb,gorilla glue 5 g,,2,нет,Тбилиси,5 гр,0.0163,11055,4349,377,175,True,,,,,,,,,gorilla glue 5 g
57,06-02-2020 12:09:57,Tbilisi,SM7B,SWEETWEED,гашиш евро 5г,True,3,нет,Тбилиси,5 гр,0.0206,13267,5219,452,210,,,,,,,,,,gashish evro 5g
58,06-02-2020 12:09:57,Tbilisi,9VLN,AlienShop,❄❄5g. HQ coco Best OFFER❄❄,True,1,нет,Тбилиси,5 гр,0.0942,57552,22638,1962,911,,,,,,,,,,❄❄5g. HQ coco Best OFFER❄❄
59,06-02-2020 12:09:57,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0408,25207,9915,859,399,True,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
60,06-02-2020 12:09:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,6,нет,Тбилиси,10 гр,0.0273,16868,6635,575,267,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
61,06-02-2020 12:09:57,Tbilisi,0V3X,arinaneb,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light",,1,нет,Тбилиси,10 гр,0.0233,15794,6213,539,250,True,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light"
62,06-02-2020 12:09:57,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0393,25270,9940,862,400,,,,,,,,,,gashish evro 10g
63,06-02-2020 12:09:57,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",True,22,нет,Тбилиси,10 гр,0.0093,6317,2485,215,100,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
64,06-02-2020 12:09:57,Tbilisi,6ZR,Geogrowers,* SALE * COCAINE Peru 11 gr BTC -30 %,True,2,нет,Тбилиси,11 гр,0.1199,104616,40995,3565,,,1500,,,,,,,,* SALE * COCAINE Peru 11 gr BTC -30 %
65,06-02-2020 12:09:57,Tbilisi,NVOG,ProperMgzn,15x Extasy Duracell 280mg MDMA.,True,1,10,Тбилиси,15 гр,0.0461,28428,11183,969,450,,,,,,,,,,15x Extasy Duracell 280mg MDMA.
66,06-02-2020 12:09:57,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0763,49086,19308,1674,777,,,,,,,,,,Gashish Evro 20gr
67,06-02-2020 12:09:57,Tbilisi,6ZR,Geogrowers,* SALE *COCAINE Peru 20+2 gr,True,2,нет,Тбилиси,22 гр,0.2078,181335,71058,6180,,,2600,,,,,,,,* SALE *COCAINE Peru 20+2 gr
68,06-02-2020 12:09:57,Tbilisi,6ZR,Geogrowers,Exstasy blue punisher 25 шт BTC -10%,True,1,нет,Тбилиси,25 гр,0.0791,53698,21123,1831,850,,,,,,,,,,Exstasy blue punisher 25 sht BTC -10%
69,06-02-2020 12:10:50,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,4,Тбилиси,0.27 гр,0.0259,15794,6213,539,250,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
70,06-02-2020 12:10:50,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.0362,22111,8698,754,350,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
71,06-02-2020 12:10:50,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.062,37905,14910,1292,600,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
72,06-02-2020 12:10:50,Tbilisi,03F3,geoshop,2 gr mdma Кристаллы очен силни импорт с европи,True,нет,2,Тбилиси,2 гр,0.0225,13898,5467,474,220,,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
73,06-02-2020 12:10:50,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.041,25270,9940,862,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
74,06-02-2020 12:10:50,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,9,Тбилиси,5 гр,0.0246,15162,5964,517,240,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
75,06-02-2020 12:10:50,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0256,15794,6213,539,250,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
76,06-02-2020 12:10:50,Tbilisi,7B8EQ,w1ld1nd1an,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1396,94761,37275,3231,1500,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
77,06-02-2020 12:10:50,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0256,15794,6213,539,250,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
78,06-02-2020 12:10:50,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0256,15794,6213,539,250,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
79,06-02-2020 12:10:50,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,4,Тбилиси,5 гр,0.0204,12572,4945,429,199,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
80,06-02-2020 12:10:50,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 280mg MDMA.,True,5,10,Тбилиси,5 гр,0.0181,11055,4349,377,175,,,,,,,,,,5x Extasy Duracell 280mg MDMA.
81,06-02-2020 12:10:50,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0256,15794,6213,539,250,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
82,06-02-2020 12:10:50,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0204,13835,5442,472,219,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
83,06-02-2020 12:10:50,Tbilisi,V4QM9,PotHero420,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.0195,13203,5194,450,209,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
84,06-02-2020 12:10:50,Tbilisi,V4QM9,PotHero420,"Jack Herer - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,5,Тбилиси,5 гр,0.0195,13203,5194,450,209,,,,,,,,,,"Jack Herer - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
85,06-02-2020 12:10:50,Tbilisi,V4QM9,PotHero420,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,5,Тбилиси,5 гр,0.0195,13203,5194,450,209,,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
86,06-02-2020 12:10:50,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0256,15794,6213,539,250,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
87,06-02-2020 12:10:50,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.0186,12635,4970,431,200,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
88,06-02-2020 12:10:50,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2062,140000,64421,4784,,,,,,,,,,,reagent 25i nbome. 5gr
89,06-02-2020 12:10:50,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2792,189523,74550,6462,3000,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
90,06-02-2020 12:10:50,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,4,Тбилиси,5 гр,0.0195,11940,4697,407,189,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
91,06-02-2020 12:10:50,Tbilisi,9VLN,AlienShop,💊💊5. ecstasy Tekashi69💊💊,True,нет,1,Тбилиси,5 гр,0.0191,11687,4597,398,185,,,,,,,,,,💊💊5. ecstasy Tekashi69💊💊
92,06-02-2020 12:10:50,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,8,Тбилиси,5 гр,0.0506,30892,12152,1053,489,,,,,,,,,,💘✨5g. MDMA ✨💘
93,06-02-2020 12:10:50,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0408,25207,9915,859,399,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
94,06-02-2020 12:10:50,Tbilisi,9VLN,AlienShop,10 грам. Амфетамин SPEED,True,нет,5,Тбилиси,10 гр,0.0414,25270,9940,862,400,,,,,,,,,,10 gram. Amfetamin SPEED
95,06-02-2020 12:10:50,Tbilisi,7B8EQ,w1ld1nd1an,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.1861,126348,49700,4308,2000,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
96,06-02-2020 12:10:50,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0819,50539,19880,1723,800,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
97,06-02-2020 12:10:50,Tbilisi,V4QM9,PotHero420,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0371,25207,9915,859,399,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
98,06-02-2020 12:10:50,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2278,140563,55291,4793,2225,,,,,,,,,,Amfetamin [White] [Import] 10G
99,06-02-2020 12:10:50,Tbilisi,9VLN,AlienShop,️‍🌈10. LSD 200ug.🌈,True,нет,3,Тбилиси,10 гр,0.033,20153,7927,687,319,,,,,,,,,,️‍🌈10. LSD 200ug.🌈
100,06-02-2020 12:10:50,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.0835,51045,20079,1740,808,,,,,,,,,,💘✨10gram MDMA ✨💘
101,06-02-2020 12:11:47,Tbilisi,7B8EQ,w1ld1nd1an,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.3071,208475,82005,7108,3300,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
102,06-02-2020 12:11:47,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0589,37905,14910,1292,600,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
103,06-02-2020 12:11:47,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1117,75809,29820,2585,1200,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
