,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vazisubani,Saburtalo,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
76,76,31-05-2020 20:26:37,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,нет,1,Батуми,0.5 гр,0.009000000000000001,6014,2299,205,85.0,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
77,77,31-05-2020 20:26:37,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,нет,3,Батуми,5 гр,0.0238,16273,6222,554,230.0,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
78,78,31-05-2020 20:26:37,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0434,29716,11361,1012,420.0,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
79,79,31-05-2020 20:26:37,Batumi,f8a875c191,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5325,353760,135250,12050,5000.0,,,,,,,True,,,METADON - 20 G.
80,80,31-05-2020 20:26:37,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1684,112990,51992,3853,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
81,81,31-05-2020 20:26:37,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2666,178900,82321,6100,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
82,82,31-05-2020 20:26:37,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7075,2705,241,100.0,,,,,,,True,,,kur'er v Batumi
83,83,31-05-2020 20:26:37,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.024,17688,6763,603,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
84,84,31-05-2020 20:26:37,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.024,17688,6763,603,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
85,85,31-05-2020 20:26:37,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0293,19637,7488,669,,,,,,,,True,250.0,,Rabota na marki (kur'er)
86,86,31-05-2020 20:26:37,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5959999999999999,1061280,405750,36150,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
87,87,31-05-2020 20:26:37,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0527,35376,13525,1205,500.0,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
88,88,31-05-2020 20:28:14,Kutaisi,be97026d1d,Cocaine 2g !!! BTC SALE 5%!!!!,,4,нет,Кутаиси,2 гр,0.0319,21862,8358,745,309.0,,,,,,,,,True,Cocaine 2g !!! BTC SALE 5%!!!!
89,89,31-05-2020 20:28:14,Kutaisi,be97026d1d,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,3,нет,Кутаиси,3 гр,0.0201,13797,5275,470,195.0,,,,,,,,,True,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
90,90,31-05-2020 20:28:14,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0293,19637,7488,669,,,,,,,,,250.0,True,Rabota na marki (kur'er)
