,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Дигоми,$,Gldani,Vazisubani,Saburtalo,Vake,Didube,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
61,61,19-06-2020 02:34:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7695,522135,201750,17863,,,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
62,62,19-06-2020 02:34:04,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8721,591753,228650,20244,,,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
63,63,19-06-2020 02:34:04,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0187,13924,5380,476,,,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
64,64,19-06-2020 02:34:04,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0205,13924,5380,476,,,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
65,65,19-06-2020 02:34:04,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,4,Тбилиси,1 гр,0.0026,1740,673,60,,,25.0,,,,,,,,,,,Rabota na marki (kur'er)
66,66,19-06-2020 02:34:04,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5529,1044270,403500,35726,,,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
67,67,19-06-2020 02:35:30,Batumi,be97026d1d,!! БАТУМИ!! !!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!! !! БАТУМИ !!,,18,нет,Батуми,0.25 гр,0.0146,10100,3902,345,129.0,,,,,,,,,,,True,,!! BATUMI!! !!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!! !! BATUMI !!
68,68,19-06-2020 02:35:30,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,2,нет,Батуми,5 гр,0.0311,20885,8070,715,,,300.0,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
69,69,19-06-2020 02:35:30,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,1,нет,Батуми,5 гр,0.0234,16012,6187,548,,,230.0,,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
70,70,19-06-2020 02:35:30,Batumi,f8a875c191,METADON - 025,,нет,4,Батуми,0.25 гр,0.0363,24366,9415,834,,,350.0,,,,,,,,,True,,METADON - 025
71,71,19-06-2020 02:35:30,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0431,29240,11298,1000,,,420.0,,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
72,72,19-06-2020 02:35:30,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1665,112990,51992,3873,,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
73,73,19-06-2020 02:35:30,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2637,178900,82321,6133,,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
74,74,19-06-2020 02:35:30,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6962,2690,238,,,100.0,,,,,,,,,True,,kur'er v Batumi
75,75,19-06-2020 02:35:30,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0233,17405,6725,595,,,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
76,76,19-06-2020 02:35:30,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0233,17405,6725,595,,,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
77,77,19-06-2020 02:35:30,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,2,Батуми,5 гр,0.0205,13924,5380,476,,,200.0,,,,,,,,,True,,Kur'er Batumi na marihuanu
78,78,19-06-2020 02:35:30,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5532,1044270,403500,35726,,,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
79,79,19-06-2020 02:35:30,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0513,34809,13450,1191,,,500.0,,,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
