,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Nadzaladevi,Vake,Gldani,Didube,Old Tbilisi (Старый город),€,Авлобари,Центр,Батуми,Кутаиси,desc_en
71,71,03-04-2020 18:49:41,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0424,23242,8267,774,299.0,True,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
72,72,03-04-2020 18:49:41,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,нет,8,Тбилиси,20 гр,0.0701,38789,13797,1292,499.0,True,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
73,73,03-04-2020 18:49:41,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.085,46562,16562,1551,599.0,True,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
74,74,03-04-2020 18:49:41,Tbilisi,e56bb6ca93,50gr Georgian Indica dominant buds. The Best PRICE,True,нет,13,Тбилиси,50 гр,0.1403,77655,27622,2587,999.0,True,,,,,,,,,,,50gr Georgian Indica dominant buds. The Best PRICE
75,75,03-04-2020 18:49:41,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1545,85506,30415,2848,1100.0,True,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
76,76,03-04-2020 18:49:41,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3372,186558,66360,6214,2400.0,True,,,,,,,,,,,100 gr marijuana buds
77,77,03-04-2020 18:49:41,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.281,155465,55300,5179,2000.0,True,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
78,78,03-04-2020 18:49:41,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2838,155465,55300,5179,2000.0,True,,,,,,,,,,,SUBOXIN - HQ - 100 G.
79,79,03-04-2020 18:49:41,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3512,194331,69125,6473,2500.0,True,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
80,80,03-04-2020 18:49:41,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2128,116599,41475,3884,1500.0,True,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
81,81,03-04-2020 18:49:41,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6462,357570,127190,11911,4600.0,True,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
82,82,03-04-2020 18:49:41,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.0536,582994,207375,19420,7500.0,True,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
83,83,03-04-2020 18:49:41,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.1941,660726,235025,22009,8500.0,True,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
84,84,03-04-2020 18:49:41,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0255,15547,5530,518,200.0,True,,,,,,,,,,,KURYER..500RUB.+BONUS
85,85,03-04-2020 18:49:41,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.0211,11660,4148,388,150.0,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
86,86,03-04-2020 18:49:41,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0281,15547,5530,518,200.0,True,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
87,87,03-04-2020 18:49:41,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0351,19433,6913,647,250.0,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
88,88,03-04-2020 18:49:41,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.1263,1165988,414750,38840,15000.0,True,,,,,,,,,,,Vakansija optovogo kur'era na mef
89,89,03-04-2020 18:50:52,Batumi,99accec7c7,MEPHEDRONE 0.5 gr,,2,нет,Батуми,0.5 гр,0.0078,4275,1521,142,55.0,,,,,,,,,True,,,MEPHEDRONE 0.5 gr
90,90,03-04-2020 18:50:52,Batumi,012f23b5ea,Power Africa 1g,,1,нет,Батуми,1 гр,0.0064,3887,1383,129,50.0,,,,,,,,,,True,,Power Africa 1g
91,91,03-04-2020 18:50:52,Batumi,99accec7c7,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,,2,нет,Батуми,1 гр,0.0143,7851,2793,262,101.0,,,,,,,,,True,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
