,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
42,27-05-2020 01:18:51,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,10,Тбилиси,5 гр,0.0209,13446,5124,454,189,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
43,27-05-2020 01:18:51,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0986,64027,24399,2160,900,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
44,27-05-2020 01:18:51,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0438,28456,10844,960,400,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
45,27-05-2020 01:18:51,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0767,49799,18977,1680,700,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
46,27-05-2020 01:18:51,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.046,29879,11386,1008,420,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
47,27-05-2020 01:18:51,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,True,1,38,Тбилиси,10 гр,0.0148,9604,3660,324,135,,,,,,,,,,,,10G Hybrid Marijuana Leafs
48,27-05-2020 01:18:51,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0877,56913,21688,1920,800,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
49,27-05-2020 01:18:51,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2438,158288,60320,5339,2225,,,,,,,,,,,,Amfetamin [White] [Import] 10G
50,27-05-2020 01:18:51,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1726,110909,42264,3741,1559,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
51,27-05-2020 01:18:51,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0408,26251,10004,885,369,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
