,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Gldani,€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
71,10-03-2020 14:59:56,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5193,310581,119508,10818,4600,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
72,10-03-2020 14:59:56,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8466,506381,194850,17639,7500,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
73,10-03-2020 14:59:56,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9595,573899,220830,19990,8500,,,,,,,,,10000sht marki 25i-nbome. predoplata
74,10-03-2020 14:59:56,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0205,13504,5196,470,200,,,,,,,,,KURYER..500RUB.+BONUS
75,10-03-2020 14:59:56,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0154,10128,3897,353,150,,,,,,,,,Rabota na marki (kur'er)
76,10-03-2020 14:59:56,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0226,13504,5196,470,200,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
77,10-03-2020 14:59:56,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0282,16879,6495,588,250,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
78,10-03-2020 14:59:56,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.7087,1012763,389700,35277,15000,,,,,,,,,Vakansija optovogo kur'era na mef
79,10-03-2020 15:01:06,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,21,нет,Батуми,1 гр,0.0205,13504,5196,470,200,,,,,,True,,,NZT-52 limited 1 g muka
80,10-03-2020 15:01:06,Batumi,CL7K,go420times,ORANGE PUNCH [1g],,3,нет,Батуми,1 гр,0.0068,4051,1559,141,60,,,,,,True,,,ORANGE PUNCH [1g]
