,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Nadzaladevi,Saburtalo,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
61,61,28-06-2020 17:50:04,Tbilisi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Тбилиси,10 гр,0.2282,152082,59180,5245,,True,2200.0,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
62,62,28-06-2020 17:50:04,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.2599,171438,66712,5912,,True,2480.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
63,63,28-06-2020 17:50:04,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,15,Тбилиси,10 гр,0.0419,27651,10760,954,,True,400.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
64,64,28-06-2020 17:50:04,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0457,30241,11759,1043,390.0,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
65,65,28-06-2020 17:50:04,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0838,55303,21520,1907,,True,800.0,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
66,66,28-06-2020 17:50:04,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.249,165908,64560,5721,,True,2400.0,,,,,,,,,100 gr marijuana buds
67,67,28-06-2020 17:50:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2075,138257,53800,4768,,True,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
68,68,28-06-2020 17:50:04,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2594,172821,67250,5960,,True,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
69,69,28-06-2020 17:50:04,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6121,407858,158710,14065,,True,5900.0,,,,,,,,,180 gr marihuana persoalno
70,70,28-06-2020 17:51:21,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6118,407858,158710,14065,,True,5900.0,,,,,,,,,180 gr marihuana persoalno
