,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Vake,Varketili,Didube,Дигоми,Gldani,Saburtalo,Авлобари,Батуми,€,Центр,Кутаиси,desc_en
70,20-04-2020 17:10:54,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6313,343462,126040,11247,4600,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
71,20-04-2020 17:10:54,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0293,559993,205500,18338,7500,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
72,20-04-2020 17:10:54,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1665,634658,232900,20783,8500,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
73,20-04-2020 17:10:54,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.025,14933,5480,489,200,,,,,,,,,,,,,KURYER..500RUB.+BONUS
74,20-04-2020 17:10:54,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0274,14933,5480,489,200,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
75,20-04-2020 17:10:54,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0343,18666,6850,611,250,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
76,20-04-2020 17:10:54,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0274,14933,5480,489,200,,,,,,,,,,,,,Rabota na marki (kur'er)
77,20-04-2020 17:10:54,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0773,1119986,411000,36675,15000,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
78,20-04-2020 17:12:32,Batumi,A3I9,Joookerrr,Батуми н-бооом 1 штука,,3,нет,Батуми,1 гр,0.0024,1460,536,48,,,,,,,,,,True,18,,,Batumi n-booom 1 shtuka
79,20-04-2020 17:12:32,Batumi,A3I9,Joookerrr,Батуми н-бооом 2 штуки,,9,нет,Батуми,2 гр,0.0048,2595,953,85,,,,,,,,,,True,32,,,Batumi n-booom 2 shtuki
80,20-04-2020 17:12:32,Batumi,A3I9,Joookerrr,Батуми н-бооом 4 штуки,,5,нет,Батуми,4 гр,0.0075,4461,1637,146,,,,,,,,,,True,55,True,,Batumi n-booom 4 shtuki
81,20-04-2020 17:12:32,Batumi,A3I9,Joookerrr,Батуми н-бооом 5 штук,,4,нет,Батуми,5 гр,0.0081,4866,1786,159,,,,,,,,,,True,60,,,Batumi n-booom 5 shtuk
82,20-04-2020 17:12:32,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3025,164265,60280,5379,2200,,,,,,,,,True,,,,[100g] SPAIN HASH
83,20-04-2020 17:12:32,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2778,149331,54800,4890,2000,,,,,,,,,True,,,,SUBOXIN - HQ - 100 G.
84,20-04-2020 17:12:32,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0125,7467,2740,245,100,,,,,,,,,True,,,,kur'er v Batumi
85,20-04-2020 17:12:32,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0313,18666,6850,611,250,,,,,,,,,True,,,,Rabota kladmenom. Tol'ko shishki.
86,20-04-2020 17:12:32,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0313,18666,6850,611,250,,,,,,,,,True,,,,Ischu kur'era v Gruzii!
87,20-04-2020 17:12:32,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0813,1119986,411000,36675,15000,,,,,,,,,True,,,,Vakansija optovogo kur'era na mef
88,20-04-2020 17:12:32,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0688,37333,13700,1223,500,,,,,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
89,20-04-2020 17:13:59,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0216,11872,4357,389,159,,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
90,20-04-2020 17:13:59,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,2 гр,0.0546,29642,10878,971,397,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
91,20-04-2020 17:13:59,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0396,21504,7891,704,288,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
92,20-04-2020 17:13:59,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0275,14933,5480,489,200,,,,,,,,,,,,True,Rabota na marki (kur'er)
