,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Saburtalo,Дигоми,Didube,Gldani,Авлобари,Батуми,Центр,Кутаиси,desc_en
105,105,13-03-2020 12:55:15,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,19,нет,Батуми,1 гр,0.03,14805,5362,469,200.0,,,,,,,,True,,,NZT-52 limited 1 g muka
106,106,13-03-2020 12:55:15,Batumi,c72111ac1a,NZT-52 limited 2г мука,,11,нет,Батуми,2 гр,0.0539,26650,9652,845,360.0,,,,,,,,True,,,NZT-52 limited 2g muka
107,107,13-03-2020 12:55:15,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.2471,111041,40215,3521,1500.0,,,,,,,,True,,,Skunk! 50 gr.
108,108,13-03-2020 12:55:15,Batumi,f8a875c191,Метадон - (KRISTAL) - VHQ - BATUMI - 0.27 G,,3,5,Батуми,0.27 гр,0.0449,19987,7239,634,270.0,,,,,,,,True,,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.27 G
109,109,13-03-2020 12:55:15,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,16,Батуми,5 гр,0.03,14805,5362,469,200.0,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
110,110,13-03-2020 12:55:15,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3328,148055,53620,4695,2000.0,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
111,111,13-03-2020 12:55:15,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2496,111041,40215,3521,1500.0,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
112,112,13-03-2020 12:55:15,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0075,3701,1341,117,50.0,,,,,,,,True,,,kur'er v Batumi
113,113,13-03-2020 12:55:15,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0374,18507,6703,587,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
114,114,13-03-2020 12:55:15,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0225,11104,4022,352,150.0,,,,,,,,True,,,Rabota na marki (kur'er)
115,115,13-03-2020 12:55:15,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0374,18507,6703,587,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
116,116,13-03-2020 12:55:15,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.4935,1110411,402150,35211,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
117,117,13-03-2020 12:55:15,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0824,37014,13405,1174,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
118,118,13-03-2020 12:56:26,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0223,11104,4022,352,150.0,,,,,,,,,,True,Rabota na marki (kur'er)
