,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
59,59,16-06-2020 04:08:38,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,,нет,1,Тбилиси,1 гр,0.0207,14079,5392,477,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
60,60,16-06-2020 04:08:38,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,,нет,1,Тбилиси,400 гр,1.5631,1055925,404400,35801,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
61,61,16-06-2020 04:10:32,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,,нет,1,Батуми,500 гр,0.1658,112990,51992,3835,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
62,62,16-06-2020 04:10:32,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,,нет,1,Батуми,1000 гр,0.2625,178900,82321,6071,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
63,63,16-06-2020 04:10:32,Batumi,22610cd7c4,курьер в Батуми,,,1,нет,Батуми,1 гр,0.0094,7040,2696,239,100.0,,,,,,True,,kur'er v Batumi
64,64,16-06-2020 04:10:32,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,,1,нет,Батуми,5 гр,0.0235,17599,6740,597,250.0,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
65,65,16-06-2020 04:10:32,Batumi,ce6827deee,Ищу курьера в Грузии!,,,1,нет,Батуми,50 гр,0.0235,17599,6740,597,250.0,,,,,,True,,Ischu kur'era v Gruzii!
66,66,16-06-2020 04:10:32,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,,нет,3,Батуми,5 гр,0.0207,14079,5392,477,200.0,,,,,,True,,Kur'er Batumi na marihuanu
67,67,16-06-2020 04:10:32,Batumi,ea97036e14,Вакансия оптового курьера на меф,,,нет,1,Батуми,400 гр,1.5634,1055925,404400,35801,15000.0,,,,,,True,,Vakansija optovogo kur'era na mef
68,68,16-06-2020 04:10:32,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,2,Батуми,1000 гр,0.0516,35198,13480,1193,500.0,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
