,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
62,18-02-2020 02:22:44,Tbilisi,V8EPD,GREENWEED,шишки 11гр. (наркуш феминиз),True,2,нет,Тбилиси,11 гр,0.0101,6331,2451,219,100,,,,,,,,,,shishki 11gr. (narkush feminiz)
63,18-02-2020 02:22:44,Tbilisi,ITJ,seazon,weed leaves 13gr +,True,1,нет,Тбилиси,13 гр,0.0053,3672,1422,127,58,,,,,,,,,,weed leaves 13gr +
64,18-02-2020 02:22:44,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0751,49191,19044,1705,777,,,,,,,,,,Gashish Evro 20gr
65,18-02-2020 02:22:44,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,3,5,Тбилиси,0.27 гр,0.0231,14371,5564,498,227,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
66,18-02-2020 02:22:44,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,3,5,Тбилиси,0.35 гр,0.0304,18929,7328,656,299,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
67,18-02-2020 02:23:37,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.061,37985,14706,1317,600,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
68,18-02-2020 02:23:37,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0402,25323,9804,878,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
69,18-02-2020 02:23:37,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0241,15194,5882,527,240,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
70,18-02-2020 02:23:37,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0252,15827,6128,549,250,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
71,18-02-2020 02:23:37,Tbilisi,7B8EQ,w1ld1nd1an,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1372,94963,36765,3292,1500,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
72,18-02-2020 02:23:37,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0252,15827,6128,549,250,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
