,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Saburtalo,Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
68,68,11-03-2020 23:44:36,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.036000000000000004,21370,7924,694,299.0,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
69,69,11-03-2020 23:44:36,Tbilisi,be97026d1d,MDMA 20 g,True,нет,1,Тбилиси,20 гр,0.2026,121502,45050,3945,1700.0,,,,,,,,,MDMA 20 g
70,70,11-03-2020 23:44:36,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0721,42812,15874,1390,599.0,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
71,71,11-03-2020 23:44:36,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.08,50030,18550,1625,700.0,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
72,72,11-03-2020 23:44:36,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.13,85766,31800,2785,1200.0,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
73,73,11-03-2020 23:44:36,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1142,71401,26474,2318,999.0,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
74,74,11-03-2020 23:44:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2383,142944,53000,4642,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
75,75,11-03-2020 23:44:36,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2407,142944,53000,4642,2000.0,,,,,,,,,SUBOXIN - HQ - 100 G.
76,76,11-03-2020 23:44:36,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2979,178680,66250,5802,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
77,77,11-03-2020 23:44:36,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1805,107208,39750,3481,1500.0,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
78,78,11-03-2020 23:44:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5481,328771,121900,10676,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
79,79,11-03-2020 23:44:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8936,536040,198750,17406,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
80,80,11-03-2020 23:44:36,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.0128,607512,225250,19727,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
81,81,11-03-2020 23:44:36,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0217,14294,5300,464,200.0,,,,,,,,,KURYER..500RUB.+BONUS
82,82,11-03-2020 23:44:36,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0162,10721,3975,348,150.0,,,,,,,,,Rabota na marki (kur'er)
83,83,11-03-2020 23:44:36,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0238,14294,5300,464,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
84,84,11-03-2020 23:44:36,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0298,17868,6625,580,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
85,85,11-03-2020 23:44:36,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.8035,1072080,397500,34812,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
86,86,11-03-2020 23:46:10,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,15,нет,Батуми,1 гр,0.0216,14294,5300,464,200.0,,,,,,True,,,NZT-52 limited 1 g muka
87,87,11-03-2020 23:46:10,Batumi,3ee37c89bb,ORANGE PUNCH [1g],,3,нет,Батуми,1 гр,0.0071,4288,1590,139,60.0,,,,,,True,,,ORANGE PUNCH [1g]
88,88,11-03-2020 23:46:10,Batumi,c72111ac1a,NZT-52 limited 2г мука,,11,нет,Батуми,2 гр,0.0388,25730,9540,835,360.0,,,,,,True,,,NZT-52 limited 2g muka
89,89,11-03-2020 23:46:10,Batumi,3c4662c591,Super Critical HIGHEST QUALITY 5G,,1,нет,Батуми,5 гр,0.0297,17868,6625,580,250.0,,,,,,,True,,Super Critical HIGHEST QUALITY 5G
90,90,11-03-2020 23:46:10,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.17800000000000002,107208,39750,3481,1500.0,,,,,,True,,,Skunk! 50 gr.
91,91,11-03-2020 23:46:10,Batumi,f8a875c191,Метадон - (KRISTAL) - VHQ - BATUMI - 0.27 G,,3,4,Батуми,0.27 гр,0.0324,19297,7155,627,270.0,,,,,,True,,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.27 G
92,92,11-03-2020 23:46:10,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,1,16,Батуми,5 гр,0.0216,14294,5300,464,200.0,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
93,93,11-03-2020 23:46:10,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2396,142944,53000,4642,2000.0,,,,,,True,,,SUBOXIN - HQ - 100 G.
94,94,11-03-2020 23:46:10,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1797,107208,39750,3481,1500.0,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
95,95,11-03-2020 23:46:10,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0054,3574,1325,116,50.0,,,,,,True,,,kur'er v Batumi
96,96,11-03-2020 23:46:10,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.027000000000000003,17868,6625,580,250.0,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
97,97,11-03-2020 23:46:10,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0162,10721,3975,348,150.0,,,,,,True,,,Rabota na marki (kur'er)
98,98,11-03-2020 23:46:10,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.027000000000000003,17868,6625,580,250.0,,,,,,True,,,Ischu kur'era v Gruzii!
99,99,11-03-2020 23:46:10,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.7957,1072080,397500,34812,15000.0,,,,,,True,,,Vakansija optovogo kur'era na mef
100,100,11-03-2020 23:46:10,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0593,35736,13250,1160,500.0,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
101,101,11-03-2020 23:47:35,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0162,10721,3975,348,150.0,,,,,,,,True,Rabota na marki (kur'er)
