,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Батуми,Центр,desc_en
46,10-08-2020 12:10:40,Tbilisi,LYHBG,Playboy,NEW !!! 2G White Widow !!! NEW,True,5,нет,Тбилиси,2 гр,0.0084,7290,2752,242,99,,,,,,,,,,,,NEW !!! 2G White Widow !!! NEW
47,10-08-2020 12:10:40,Tbilisi,5XD8,TYsonWeed,TYson Budds 2G Скидка 5%,True,7,нет,Тбилиси,2 гр,0.0061,5891,2224,196,80,,,,,,,,,,,,TYson Budds 2G Skidka 5%
48,10-08-2020 12:10:40,Tbilisi,43MUT,Canartvelo,Бошки OG Kush 2g.,True,3,нет,Тбилиси,2 гр,0.0068,5891,2224,196,80,,,,,,,,,,,,Boshki OG Kush 2g.
49,10-08-2020 12:10:40,Tbilisi,QUZIV,Hollyweed,Marijuana Super Skunk leaves 3g plan (подезд),,2,нет,Тбилиси,3 гр,0.002,1767,667,59,24,,True,,,,,,,,,,Marijuana Super Skunk leaves 3g plan (podezd)
50,10-08-2020 12:10:40,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gramm,True,3,нет,Тбилиси,3 гр,0.0068,6627,2502,220,90,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
51,10-08-2020 12:10:40,Tbilisi,XUYA,MRweed,"Amnesia Haze (photoperiod, regular) 5 гр. Спокойно, Надёжно, Качественно.",,1,нет,Тбилиси,5 гр,0.0182,17673,6672,588,240,,,True,,,,,,,,,"Amnesia Haze (photoperiod, regular) 5 gr. Spokojno, Nadezhno, Kachestvenno."
52,10-08-2020 12:10:40,Tbilisi,XUYA,MRweed,"Gorilla Breath - photoperiod, feminised 5гр",True,1,2,Тбилиси,5 гр,0.0182,17673,6672,588,240,,,True,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
53,10-08-2020 12:10:40,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0209,18409,6950,612,250,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
54,10-08-2020 12:10:40,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0226,19882,7506,661,270,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
55,10-08-2020 12:10:40,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.023,20250,7645,673,275,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
56,10-08-2020 12:10:40,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0201,17673,6672,588,240,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
57,10-08-2020 12:10:40,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0234,20619,7784,686,280,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
