,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
45,08-02-2020 18:16:45,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",True,17,нет,Тбилиси,10 гр,0.009,6347,2470,218,100,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
46,08-02-2020 18:16:45,Tbilisi,6ZR,Geogrowers,* SALE * COCAINE Peru 11 gr BTC -50 %,True,2,нет,Тбилиси,11 гр,0.0917,116002,45149,3975,,,,,1666,,,,,,* SALE * COCAINE Peru 11 gr BTC -50 %
47,08-02-2020 18:16:45,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.074,49318,19192,1691,777,,,,,,,,,,Gashish Evro 20gr
48,08-02-2020 18:16:45,Tbilisi,6ZR,Geogrowers,* SALE *COCAINE Peru 20+2 gr BTC-50%,True,2,нет,Тбилиси,22 гр,0.1528,193359,75257,6625,,,,,2777,,,,,,* SALE *COCAINE Peru 20+2 gr BTC-50%
49,08-02-2020 18:16:45,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,4,Тбилиси,0.27 гр,0.0251,15868,6175,544,250,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
50,08-02-2020 18:16:45,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.0351,22215,8645,762,350,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
51,08-02-2020 18:16:45,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0602,38083,14820,1306,600,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
52,08-02-2020 18:16:45,Tbilisi,03F3,geoshop,2 gr mdma Кристаллы очен силни импорт с европи,True,нет,2,Тбилиси,2 гр,0.0218,13964,5434,479,220,,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
53,08-02-2020 18:16:45,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0397,25389,9880,870,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
54,08-02-2020 18:16:45,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,9,Тбилиси,5 гр,0.0238,15233,5928,522,240,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
55,08-02-2020 18:16:45,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0248,15868,6175,544,250,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
56,08-02-2020 18:16:45,Tbilisi,7B8EQ,w1ld1nd1an,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1354,95208,37050,3264,1500,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
57,08-02-2020 18:16:45,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0248,15868,6175,544,250,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
58,08-02-2020 18:16:45,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0248,15868,6175,544,250,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
59,08-02-2020 18:16:45,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,4,Тбилиси,5 гр,0.0198,12631,4915,433,199,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
60,08-02-2020 18:16:45,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0248,15868,6175,544,250,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
61,08-02-2020 18:16:45,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0198,13900,5409,477,219,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
62,08-02-2020 18:16:45,Tbilisi,V4QM9,PotHero420,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.0189,13266,5162,455,209,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
63,08-02-2020 18:16:45,Tbilisi,V4QM9,PotHero420,"Jack Herer - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.0189,13266,5162,455,209,,,,,,,,,,"Jack Herer - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
64,08-02-2020 18:17:24,Tbilisi,V4QM9,PotHero420,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.0188,13266,5162,455,209,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
65,08-02-2020 18:17:24,Tbilisi,V4QM9,PotHero420,"Jack Herer - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.0188,13266,5162,455,209,,,,,,,,,,"Jack Herer - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
66,08-02-2020 18:17:24,Tbilisi,V4QM9,PotHero420,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,5,Тбилиси,5 гр,0.0188,13266,5162,455,209,,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
67,08-02-2020 18:17:24,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0248,15868,6175,544,250,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
68,08-02-2020 18:17:24,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.018,12694,4940,435,200,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
69,08-02-2020 18:17:24,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1988,140000,64421,4798,,,,,,,,,,,reagent 25i nbome. 5gr
70,08-02-2020 18:17:24,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2704,190416,74100,6529,3000,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
71,08-02-2020 18:17:24,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,8,Тбилиси,5 гр,0.049,31038,12078,1064,489,,,,,,,,,,💘✨5g. MDMA ✨💘
72,08-02-2020 18:17:24,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.018,11425,4446,392,180,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
73,08-02-2020 18:17:24,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0396,25325,9855,868,399,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
74,08-02-2020 18:17:24,Tbilisi,7B8EQ,w1ld1nd1an,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.1803,126944,49400,4352,2000,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
75,08-02-2020 18:17:24,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0793,50778,19760,1741,800,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
76,08-02-2020 18:17:24,Tbilisi,V4QM9,PotHero420,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.036,25325,9855,868,399,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
77,08-02-2020 18:17:24,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2206,141225,54958,4842,2225,,,,,,,,,,Amfetamin [White] [Import] 10G
78,08-02-2020 18:17:24,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.0809,51285,19958,1758,808,,,,,,,,,,💘✨10gram MDMA ✨💘
79,08-02-2020 18:17:24,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.0299,18978,7385,651,299,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
80,08-02-2020 18:17:24,Tbilisi,V8EPD,GREENWEED,"SALE - 50%. Шишки 11гр (LSD FEMINISED), THC 24%, 3hours; Premium Quality Weed",True,1,3,Тбилиси,11 гр,0.0135,9521,3705,326,150,,,,,,,,,,"SALE - 50%. Shishki 11gr (LSD FEMINISED), THC 24%, 3hours; Premium Quality Weed"
81,08-02-2020 18:17:24,Tbilisi,NVOG,ProperMgzn,15x Extasy Duracell 223mg MDMA.,True,нет,10,Тбилиси,15 гр,0.0451,28562,11115,979,450,,,,,,,,,,15x Extasy Duracell 223mg MDMA.
82,08-02-2020 18:17:24,Tbilisi,7B8EQ,w1ld1nd1an,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.2974,209458,81510,7181,3300,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
83,08-02-2020 18:17:24,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0571,38083,14820,1306,600,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
84,08-02-2020 18:17:24,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1082,76166,29640,2611,1200,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
85,08-02-2020 18:17:24,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,50 гр,0.0856,57125,22230,1959,900,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
86,08-02-2020 18:17:24,Tbilisi,9VVG,ToWeedShop,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.0942,60298,23465,2067,950,,,,,,,,,,Hybrid Skunk! 50 gr
87,08-02-2020 18:17:24,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1983,126944,49400,4352,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
88,08-02-2020 18:17:24,Tbilisi,9VVG,ToWeedShop,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1785,114250,44460,3917,1800,,,,,,,,,,Hybrid Skunk! 100 gr
89,08-02-2020 18:17:24,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2479,158680,61750,5441,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
90,08-02-2020 18:17:24,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0388,27293,10621,936,430,,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
91,08-02-2020 18:17:24,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.456,291971,113620,10011,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
92,08-02-2020 18:17:24,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7436,476040,185250,16322,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
93,08-02-2020 18:17:24,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8427,539512,209950,18498,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
94,08-02-2020 18:17:24,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.018,12694,4940,435,200,,,,,,,,,,KURYER..500RUB.+BONUS
95,08-02-2020 18:17:24,Tbilisi,3TGJ9,Elegant,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.018,12694,4940,435,200,,,,,,,,,,Trebuetsja Kur'er
96,08-02-2020 18:17:24,Tbilisi,62YA,WhiteRebit,Требуется сотрудник,True,1,нет,Тбилиси,1 гр,0.0198,12694,4940,435,200,,,,,,,,,,Trebuetsja sotrudnik
97,08-02-2020 18:17:24,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0198,12694,4940,435,200,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
98,08-02-2020 18:17:49,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5006,952080,370500,32643,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
99,08-02-2020 18:18:48,Batumi,A08BZ,Subway,Метамфетамин рацемат 2г (MQ),,2,нет,Батуми,2 гр,0.0085,5395,2100,185,85,,,,,,,True,,,Metamfetamin ratsemat 2g (MQ)
100,08-02-2020 18:18:48,Batumi,2PSS,DonDRAKON,"Combo: bruce lee, wembley, speedi+ (3g)",,2,нет,Батуми,3 гр,0.0135,9521,3705,326,150,,,,,,,True,,,"Combo: bruce lee, wembley, speedi+ (3g)"
101,08-02-2020 18:18:48,Batumi,XH0NP,XX-PABLO-XX,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE ),,2,10,Батуми,0.27 гр,0.0228,14408,5607,494,227,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE )
102,08-02-2020 18:18:48,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,19,Батуми,5 гр,0.0181,12694,4940,435,200,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
103,08-02-2020 18:18:48,Batumi,9VVG,ToWeedShop,Hybrid Skunk! 50 gr,,нет,2,Батуми,50 гр,0.0943,60298,23465,2067,950,,,,,,,True,,,Hybrid Skunk! 50 gr
