,time_stamp,region,sell_code,sell_name,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Tbilisis Zgva,Saburtalo,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
57,12-06-2020 11:49:07,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7651,518414,201375,17811,7500,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
58,12-06-2020 11:49:07,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8671,587536,228225,20186,8500,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
59,12-06-2020 11:49:07,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0185,13824,5370,475,200,True,,,,,,,,,,KURYER..500RUB.+BONUS
60,12-06-2020 11:49:07,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0204,13824,5370,475,200,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
61,12-06-2020 11:49:07,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5441,1036829,402750,35622,15000,True,,,,,,,,,,Vakansija optovogo kur'era na mef
62,12-06-2020 11:50:38,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1668,112990,51992,3885,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
63,12-06-2020 11:50:38,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.264,178900,82321,6152,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
64,12-06-2020 11:50:38,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6912,2685,237,100,,,,,,,,True,,,kur'er v Batumi
65,12-06-2020 11:50:38,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0232,17280,6713,594,250,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
66,12-06-2020 11:50:38,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0232,17280,6713,594,250,,,,,,,,True,,,Ischu kur'era v Gruzii!
67,12-06-2020 11:50:38,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0204,13824,5370,475,200,,,,,,,,True,,,Kur'er Batumi na marihuanu
68,12-06-2020 11:50:38,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5441,1036829,402750,35622,15000,,,,,,,,True,,,Vakansija optovogo kur'era na mef
69,12-06-2020 11:50:38,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.051,34561,13425,1187,500,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
70,12-06-2020 11:51:43,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,1 гр,0.0025,1728,671,59,25,,,,,,,,,,True,Rabota na marki (kur'er)
