,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
46,05-03-2020 04:45:37,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0433,26365,9951,890,399,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
47,05-03-2020 04:45:37,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0384,23127,8729,781,350,,,,,,,,10x Extasy Duracell 223mg MDMA.
48,05-03-2020 04:45:37,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0868,52863,19952,1785,800,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
49,05-03-2020 04:45:37,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2415,147024,55492,4964,2225,,,,,,,,Amfetamin [White] [Import] 10G
50,05-03-2020 04:45:37,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1588,95748,36138,3233,1449,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
51,05-03-2020 04:45:37,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0405,24383,9203,823,369,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
52,05-03-2020 04:45:37,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0328,19757,7457,667,299,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
53,05-03-2020 04:45:37,Tbilisi,NVOG,ProperMgzn,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.0767,46255,17458,1562,700,,,,,,,,20x Extasy Duracell 223mg MDMA.
54,05-03-2020 04:45:37,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0657,39581,14939,1336,599,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
55,05-03-2020 04:45:37,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0729,46255,17458,1562,700,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
56,05-03-2020 04:45:37,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1184,79294,29928,2677,1200,,,,,,,,50 gr 23% THC Amnesia Haze top quality
57,05-03-2020 04:45:37,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1041,66012,24915,2229,999,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
58,05-03-2020 04:45:37,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2171,132157,49880,4462,2000,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
59,05-03-2020 04:45:37,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2193,132157,49880,4462,2000,,,,,,,,SUBOXIN - HQ - 100 G.
60,05-03-2020 04:45:37,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2713,165196,62350,5578,2500,,,,,,,,Marihuana [Shishki] [Gali] 100G
61,05-03-2020 04:45:37,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1644,99118,37410,3347,1500,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
62,05-03-2020 04:45:37,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4993,303961,114724,10263,4600,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
63,05-03-2020 04:45:37,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.814,495588,187050,16733,7500,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
64,05-03-2020 04:45:37,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9226,561666,211990,18964,8500,,,,,,,,10000sht marki 25i-nbome. predoplata
65,05-03-2020 04:45:37,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0197,13216,4988,446,200,,,,,,,,KURYER..500RUB.+BONUS
66,05-03-2020 04:45:37,Tbilisi,3TGJ9,Elegant,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0197,13216,4988,446,200,,,,,,,,Trebuetsja Kur'er
67,05-03-2020 04:45:37,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0148,9912,3741,335,150,,,,,,,,Rabota na marki (kur'er)
68,05-03-2020 04:45:37,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0217,13216,4988,446,200,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
69,05-03-2020 04:46:22,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0269,16520,6235,558,250,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
70,05-03-2020 04:46:22,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6312,991176,374100,33467,15000,,,,,,,,Vakansija optovogo kur'era na mef
71,05-03-2020 04:47:28,Batumi,9VVG,ToWeedShop,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1616,99118,37410,3347,1500,,,,,True,,,Skunk! 50 gr.
72,05-03-2020 04:47:28,Batumi,XH0NP,XX-PABLO-XX,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,нет,5,Батуми,0.27 гр,0.0294,17841,6734,602,270,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
73,05-03-2020 04:47:28,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,17,Батуми,5 гр,0.0196,13216,4988,446,200,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
74,05-03-2020 04:47:28,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2177,132157,49880,4462,2000,,,,,True,,,SUBOXIN - HQ - 100 G.
75,05-03-2020 04:47:28,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1633,99118,37410,3347,1500,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
76,05-03-2020 04:47:28,Batumi,O9SXJ,Parnavaz,"Ищу курьера (кладчик, кладмен)",,1,нет,Батуми,1 гр,0.0109,6608,2494,223,100,,,,,True,,,"Ischu kur'era (kladchik, kladmen)"
77,05-03-2020 04:47:28,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0049,3304,1247,112,50,,,,,True,,,kur'er v Batumi
78,05-03-2020 04:47:28,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0245,16520,6235,558,250,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
79,05-03-2020 04:47:28,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0147,9912,3741,335,150,,,,,True,,,Rabota na marki (kur'er)
80,05-03-2020 04:47:28,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0245,16520,6235,558,250,,,,,True,,,Ischu kur'era v Gruzii!
81,05-03-2020 04:47:28,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6312,991176,374100,33467,15000,,,,,True,,,Vakansija optovogo kur'era na mef
82,05-03-2020 04:47:28,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0539,33039,12470,1116,500,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
83,05-03-2020 04:48:37,Kutaisi,O9SXJ,Parnavaz,"Шишки / Weed Afghan Kush, 3g",,1,3,Кутаиси,3 гр,0.0118,7136,2694,241,108,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
84,05-03-2020 04:48:37,Kutaisi,O9SXJ,Parnavaz,"Ищу курьера (кладчик, кладмен)",,1,нет,Кутаиси,1 гр,0.0109,6608,2494,223,100,,,,,,,True,"Ischu kur'era (kladchik, kladmen)"
85,05-03-2020 04:48:37,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0147,9912,3741,335,150,,,,,,,True,Rabota na marki (kur'er)
