,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Saburtalo,Vake,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
52,52,01-03-2020 18:22:26,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0415,24720,9114,826,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
53,53,01-03-2020 18:22:26,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0336,20030,7385,670,299.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
54,54,01-03-2020 18:22:26,Tbilisi,c9a56b2b4a,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.0788,46894,17290,1567,700.0,,,,,,,,,,20x Extasy Duracell 223mg MDMA.
55,55,01-03-2020 18:22:26,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0674,40128,14795,1341,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
56,56,01-03-2020 18:22:26,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0748,46894,17290,1567,700.0,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
57,57,01-03-2020 18:22:26,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1215,80389,29640,2687,1200.0,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
58,58,01-03-2020 18:22:26,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1068,66924,24675,2237,999.0,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
59,59,01-03-2020 18:22:26,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2228,133982,49400,4478,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
60,60,01-03-2020 18:22:26,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.225,133982,49400,4478,2000.0,,,,,,,,,,SUBOXIN - HQ - 100 G.
61,61,01-03-2020 18:22:26,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2785,167477,61750,5598,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
62,62,01-03-2020 18:22:26,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1688,100486,37050,3359,1500.0,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
63,63,01-03-2020 18:22:26,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5124,308158,113620,10300,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
64,64,01-03-2020 18:22:26,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8355,502432,185250,16793,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
65,65,01-03-2020 18:22:26,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9469,569423,209950,19032,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
66,66,01-03-2020 18:22:26,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0203,13398,4940,448,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
67,67,01-03-2020 18:22:26,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0203,13398,4940,448,200.0,,,,,,,,,,Trebuetsja Kur'er
68,68,01-03-2020 18:22:26,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0223,13398,4940,448,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
