,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Vake,Gldani,€,Didube,Дигоми,Old Tbilisi (Старый город),Центр,Батуми,Кутаиси,desc_en
67,67,28-03-2020 14:33:01,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0279,14769,5415,489,190.0,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
68,68,28-03-2020 14:33:01,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0718,38011,13937,1259,489.0,True,,,,,,,,,,💘✨5g. MDMA ✨💘
69,69,28-03-2020 14:33:01,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,7,Тбилиси,5 гр,0.0278,14691,5387,487,189.0,True,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
70,70,28-03-2020 14:33:01,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1309,69959,25650,2318,900.0,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
71,71,28-03-2020 14:33:01,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.1018,54413,19950,1803,700.0,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
72,72,28-03-2020 14:33:01,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0465,24874,9120,824,320.0,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
73,73,28-03-2020 14:33:01,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1163,62186,22800,2060,800.0,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
74,74,28-03-2020 14:33:01,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3235,172955,63413,5730,2225.0,True,,,,,,,,,,Amfetamin [White] [Import] 10G
75,75,28-03-2020 14:33:01,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,8,Тбилиси,10 гр,0.2128,112634,41297,3732,1449.0,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
76,76,28-03-2020 14:33:01,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0542,28683,10517,950,369.0,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
77,77,28-03-2020 14:33:01,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0439,23242,8522,770,299.0,True,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
78,78,28-03-2020 14:33:01,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.08800000000000001,46562,17072,1543,599.0,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
79,79,28-03-2020 14:33:01,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,,нет,1,Тбилиси,50 гр,0.1586,93279,34200,3090,1200.0,True,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
80,80,28-03-2020 14:33:01,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1599,85506,31350,2833,1100.0,True,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
81,81,28-03-2020 14:33:01,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2908,155465,57000,5151,2000.0,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
82,82,28-03-2020 14:33:01,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2937,155465,57000,5151,2000.0,True,,,,,,,,,,SUBOXIN - HQ - 100 G.
83,83,28-03-2020 14:33:01,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3635,194331,71250,6439,2500.0,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
