,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
60,60,19-02-2020 06:20:14,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0336,22256,8554,769,349.0,,,,True,,,,,,,Kokain KOLUMBIA 2g
61,61,19-02-2020 06:20:14,Tbilisi,366326d4d6,3 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,1,нет,Тбилиси,3 гр,0.0106,6951,2672,240,109.0,,,,,,,,,,,3 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
62,62,19-02-2020 06:20:14,Tbilisi,89f7212915,3 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,4,нет,Тбилиси,3 гр,0.0105,7652,2941,264,120.0,,,,,,,,,,,3 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
63,63,19-02-2020 06:20:14,Tbilisi,8ddca45a78,3g AFGHANI Indica THC 18% / BTC -10% sale,True,2,нет,Тбилиси,3 гр,0.0096,7015,2696,242,110.0,,,,,,,,,,,3g AFGHANI Indica THC 18% / BTC -10% sale
64,64,19-02-2020 06:20:14,Tbilisi,7c395c455d,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0236,15624,6005,540,245.0,,,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
65,65,19-02-2020 06:20:14,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,5,нет,Тбилиси,3 гр,0.0102,6696,2574,231,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
66,66,19-02-2020 06:20:14,Tbilisi,dd631c4acf,3г. SPEED Амфетамин стимулятор,True,1,нет,Тбилиси,3 гр,0.0096,6313,2426,218,99.0,,,,,,,,,,,3g. SPEED Amfetamin stimuljator
67,67,19-02-2020 06:21:01,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0271,19769,7598,683,310.0,,,,,,,,,,,NZT-52 mind storm limited 3g muka
68,68,19-02-2020 06:21:01,Tbilisi,ae784bef73,White Widow ! 3G ! grainded,True,1,нет,Тбилиси,3 гр,0.0076,5038,1936,174,79.0,,,,,,,,,,,White Widow ! 3G ! grainded
69,69,19-02-2020 06:21:01,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,True,1,нет,Тбилиси,3 гр,0.0116,7589,2917,262,119.0,,,,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
70,70,19-02-2020 06:21:01,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0154,10139,3897,350,159.0,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
71,71,19-02-2020 06:21:01,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0151,9884,3799,341,155.0,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
