,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vazisubani,Tbilisis Zgva,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Центр,Батуми,desc_en
65,65,30-07-2020 06:22:46,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0446,36117,13925,1209,500.0,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
66,66,30-07-2020 06:22:46,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.3505,1083522,417750,36270,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
67,67,30-07-2020 06:22:46,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0446,36117,13925,1209,500.0,,,,,,True,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
68,68,30-07-2020 06:25:02,Batumi,d30ed85c42,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.2g 🔋💎🧞‍♂️",,10,нет,Батуми,0.2 гр,0.0126,10105,3885,338,,,,,,119.0,,,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.2g 🔋💎🧞‍♂️"
69,69,30-07-2020 06:25:02,Batumi,d30ed85c42,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/2шт (0.4мг)!💉⭕⚜,,4,нет,Батуми,0.4 гр,0.0094,7557,2906,253,,,,,,89.0,,,,,True,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/2sht (0.4mg)!💉⭕⚜
70,70,30-07-2020 06:25:02,Batumi,d30ed85c42,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️",,9,нет,Батуми,0.4 гр,0.0242,19445,7477,651,,,,,,229.0,,,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️"
71,71,30-07-2020 06:25:02,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,,16,нет,Батуми,0.5 гр,0.0037,2972,1143,99,,,,,,35.0,,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
72,72,30-07-2020 06:25:02,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,1,2,Батуми,1 гр,0.0328,26323,10122,881,,,,,,310.0,,,,,True,True,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
73,73,30-07-2020 06:25:02,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,14,нет,Батуми,2 гр,0.0029,2384,919,80,33.0,,,,,,,,,,,True,Melkie shishki (Indica) 2g
74,74,30-07-2020 06:25:02,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,1,4,Батуми,10 гр,0.0465,37361,14366,1250,,,,,,440.0,,,,,True,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
75,75,30-07-2020 06:25:02,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,4,Батуми,11 гр,0.0413,33116,12734,1108,,,,,,390.0,,,,,,True,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
76,76,30-07-2020 06:25:02,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,1,Батуми,11 гр,0.0422,33880,13027,1134,,,,,,399.0,,,,,,True,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
77,77,30-07-2020 06:25:02,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0081,7223,2785,242,100.0,,,,,,,,,,,True,kur'er v Batumi
78,78,30-07-2020 06:25:02,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0203,18059,6963,605,250.0,,,,,,,,,,,True,Rabota kladmenom. Tol'ko shishki.
79,79,30-07-2020 06:25:02,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0203,18059,6963,605,250.0,,,,,,,,,,,True,Ischu kur'era v Gruzii!
80,80,30-07-2020 06:25:02,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0178,14447,5570,484,200.0,,,,,,,,,,,True,Kur'er Batumi na marihuanu
81,81,30-07-2020 06:25:02,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.3497,1083522,417750,36270,15000.0,,,,,,,,,,,True,Vakansija optovogo kur'era na mef
82,82,30-07-2020 06:25:02,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0446,36117,13925,1209,500.0,,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
