,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Saburtalo,Дигоми,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
70,70,30-05-2020 22:05:50,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0432,29716,11361,1012,420.0,,,,,,,True,,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
71,71,30-05-2020 22:05:50,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1677,112990,51992,3853,,,,,,,,True,,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
72,72,30-05-2020 22:05:50,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2656,178900,82321,6100,,,,,,,,True,,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
73,73,30-05-2020 22:05:50,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7075,2705,241,100.0,,,,,,,True,,,,kur'er v Batumi
74,74,30-05-2020 22:05:50,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0239,17688,6763,603,250.0,,,,,,,True,,,,Rabota kladmenom. Tol'ko shishki.
75,75,30-05-2020 22:05:50,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0239,17688,6763,603,250.0,,,,,,,True,,,,Ischu kur'era v Gruzii!
76,76,30-05-2020 22:05:50,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0292,19637,7488,669,,,,,,,,True,250.0,,,Rabota na marki (kur'er)
77,77,30-05-2020 22:05:50,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5897,1061280,405750,36150,15000.0,,,,,,,True,,,,Vakansija optovogo kur'era na mef
78,78,30-05-2020 22:05:50,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0525,35376,13525,1205,500.0,,,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
79,79,30-05-2020 22:07:13,Kutaisi,be97026d1d,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,3,нет,Кутаиси,3 гр,0.0201,13797,5275,470,195.0,,,,,,,,,,True,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
80,80,30-05-2020 22:07:13,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0292,19637,7488,669,,,,,,,,,250.0,,True,Rabota na marki (kur'er)
