,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Дигоми,Saburtalo,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Varketili,Батуми,Центр,€,desc_en
62,16-08-2020 12:01:13,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0354,30751,11592,1032,420,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
63,16-08-2020 12:01:13,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0675,58573,22080,1965,800,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
64,16-08-2020 12:01:13,Tbilisi,HWUW,opiopi,GABAGAMA 10 shtuk,True,нет,5,Тбилиси,10 гр,0.0012,1025,386,34,14,,,,,,,,,,,,GABAGAMA 10 shtuk
65,16-08-2020 12:01:13,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1876,162905,61410,5465,2225,,,,,,,,,,,,Amfetamin [White] [Import] 10G
66,16-08-2020 12:01:13,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2024,175718,66240,5895,2400,,,,,,,,,,,,100 gr marijuana buds
67,16-08-2020 12:01:13,Tbilisi,OX85,amnesia420,"Weed cooking butter 100gr, Hight THC",True,нет,2,Тбилиси,100 гр,0.0083,7248,2732,243,99,,,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
68,16-08-2020 12:01:13,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2108,183039,69000,6141,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
69,16-08-2020 12:01:13,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.4975,431973,162840,14493,5900,,,,,,,,,,,,180 gr marihuana persoalno
70,16-08-2020 12:01:13,Tbilisi,51K,tiabaldo66,РоСС Убой 2гр,True,нет,33,Тбилиси,2 гр,0.0062,5638,2125,189,77,,,,,,,,,,,,RoSS Uboj 2gr
71,16-08-2020 12:01:13,Tbilisi,S54D,wildindian,10g Methadone Crystal (В ЦЕНТРЕ НА МАГНИТАХ),True,нет,2,Тбилиси,10 гр,0.2453,234290,88320,7860,3200,,,,,,,,,,,,10g Methadone Crystal (V TsENTRE NA MAGNITAH)
