,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Vake,€,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
66,30-03-2020 07:44:03,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0286,14769,5415,489,190,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
67,30-03-2020 07:44:03,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0737,38011,13937,1259,489,True,,,,,,,,,,💘✨5g. MDMA ✨💘
68,30-03-2020 07:44:03,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,7,Тбилиси,5 гр,0.0285,14691,5387,487,189,True,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
69,30-03-2020 07:44:03,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1343,69959,25650,2318,900,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
70,30-03-2020 07:44:03,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.1045,54413,19950,1803,700,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
71,30-03-2020 07:44:03,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0478,24874,9120,824,320,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
72,30-03-2020 07:44:03,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1194,62186,22800,2060,800,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
73,30-03-2020 07:44:03,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3321,172955,63413,5730,2225,True,,,,,,,,,,Amfetamin [White] [Import] 10G
74,30-03-2020 07:44:03,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,8,Тбилиси,10 гр,0.2184,112634,41297,3732,1449,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
75,30-03-2020 07:44:03,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0556,28683,10517,950,369,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
76,30-03-2020 07:44:03,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0451,23242,8522,770,299,True,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
77,30-03-2020 07:44:03,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0903,46562,17072,1543,599,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
78,30-03-2020 07:44:03,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1642,85506,31350,2833,1100,True,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
79,30-03-2020 07:44:03,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3582,186558,68400,6181,2400,True,,,,,,,,,,100 gr marijuana buds
80,30-03-2020 07:44:03,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2985,155465,57000,5151,2000,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
81,30-03-2020 07:44:03,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.3015,155465,57000,5151,2000,True,,,,,,,,,,SUBOXIN - HQ - 100 G.
82,30-03-2020 07:44:03,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3731,194331,71250,6439,2500,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
83,30-03-2020 07:44:03,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2261,116599,42750,3863,1500,True,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
84,30-03-2020 07:44:03,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6865,357570,131100,11847,4600,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
85,30-03-2020 07:44:03,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.1193,582994,213750,19316,7500,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
86,30-03-2020 07:44:03,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.2685,660726,242250,21891,8500,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
87,30-03-2020 07:44:03,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0271,15547,5700,515,200,True,,,,,,,,,,KURYER..500RUB.+BONUS
88,30-03-2020 07:44:03,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.0298,15547,5700,515,200,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
89,30-03-2020 07:44:03,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Тбилиси,50 гр,0.0374,21435,7938,709,,True,,250,,,,,,,,Rabota na marki (kur'er)
90,30-03-2020 07:44:03,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0298,15547,5700,515,200,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
91,30-03-2020 07:44:03,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0373,19433,7125,644,250,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
