,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
74,01-06-2020 19:25:39,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,нет,3,Батуми,5 гр,0.0235,16034,6210,554,230,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
75,01-06-2020 19:25:39,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.043,29279,11340,1012,420,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
76,01-06-2020 19:25:39,Batumi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5276,348557,135000,12050,5000,,,,,,,True,,,METADON - 20 G.
77,01-06-2020 19:25:39,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1693,112990,51992,3853,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
78,01-06-2020 19:25:39,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2681,178900,82321,6100,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
79,01-06-2020 19:25:39,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,6971,2700,241,100,,,,,,,True,,,kur'er v Batumi
80,01-06-2020 19:25:39,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0237,17428,6750,603,250,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
81,01-06-2020 19:25:39,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0237,17428,6750,603,250,,,,,,,True,,,Ischu kur'era v Gruzii!
82,01-06-2020 19:25:39,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0209,13942,5400,482,200,,,,,,,True,,,Kur'er Batumi na marihuanu
83,01-06-2020 19:25:39,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0291,19409,7500,669,,,,,,,,True,250,,Rabota na marki (kur'er)
84,01-06-2020 19:25:39,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5814,1045671,405000,36150,15000,,,,,,,True,,,Vakansija optovogo kur'era na mef
85,01-06-2020 19:25:39,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0522,34856,13500,1205,500,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
86,01-06-2020 19:27:09,Kutaisi,EIH4,San4oPan4o,Cocaine 2g !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,2 гр,0.0316,21541,8343,745,309,,,,,,,,,True,Cocaine 2g !!! BTC SALE 5%!!!!
87,01-06-2020 19:27:09,Kutaisi,EIH4,San4oPan4o,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,3,нет,Кутаиси,3 гр,0.02,13594,5265,470,195,,,,,,,,,True,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
88,01-06-2020 19:27:09,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0291,19409,7500,669,,,,,,,,,250,True,Rabota na marki (kur'er)
