,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Didube,Varketili,Saburtalo,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
46,22-02-2020 12:20:09,Tbilisi,7R3WM,RastaShop,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,2,нет,Тбилиси,2 гр,0.0082,5273,2010,181,82,,,,True,,,True,,,,,,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
47,22-02-2020 12:20:09,Tbilisi,ABOAB,ProGrow,2G -- AK-47 -> Sativa,True,12,нет,Тбилиси,2 гр,0.0068,4437,1691,153,69,,,,True,,,,,,,,,2G -- AK-47 -> Sativa
48,22-02-2020 12:20:09,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,2 гр,0.008,5080,1936,175,79,,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
49,22-02-2020 12:20:09,Tbilisi,SF03,CRAZYFROG,"2gr mexica sativa марихуана шишки ,Оплата BITCOIN -10% Скидка.",True,5,нет,Тбилиси,2 гр,0.007,4501,1716,155,70,,,,,,,,,,,,,"2gr mexica sativa marihuana shishki ,Oplata BITCOIN -10% Skidka."
50,22-02-2020 12:20:09,Tbilisi,LYHBG,Playboy,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,1,нет,Тбилиси,2 гр,0.0365,23148,8824,796,360,,,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
51,22-02-2020 12:20:09,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,3,нет,Тбилиси,2 гр,0.0349,22827,8701,785,355,,,,True,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
52,22-02-2020 12:20:09,Tbilisi,Z9UT,Rainbow,KALI MIST 2G,,3,нет,Тбилиси,2 гр,0.01,6430,2451,221,100,,,,True,,,,,,,,,KALI MIST 2G
53,22-02-2020 12:20:09,Tbilisi,5JG6,BenderMan,Ketamine 2 g,True,6,нет,Тбилиси,2 гр,0.0182,11574,4412,398,180,,,,,,,,,,,,,Ketamine 2 g
54,22-02-2020 12:20:09,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 2 pieces",True,7,нет,Тбилиси,2 гр,0.0071,4501,1716,155,70,,,,,,,,,,,,,"LSD - 250 ug, 2 pieces"
55,22-02-2020 12:20:09,Tbilisi,UJP9,420Inc,Pineapple Express 2G pressed buds only (hydro),True,2,нет,Тбилиси,2 гр,0.0084,5466,2083,188,85,,,,,,,,,,,,,Pineapple Express 2G pressed buds only (hydro)
56,22-02-2020 12:20:09,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,5,нет,Тбилиси,2 гр,0.0356,25077,9559,863,390,,,,,,,,,,,,,VHQ BEST Cocaine 2g.
57,22-02-2020 12:20:09,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.035,22441,8554,772,349,,,,,,True,,,,,,,Kokain KOLUMBIA 2g
58,22-02-2020 12:20:09,Tbilisi,0WE,Khachapuri,🍃 2гр ГАШИШ 🍃,True,3,нет,Тбилиси,2 гр,0.0106,7073,2696,243,110,,,,,,,,,,,,,🍃 2gr GAShISh 🍃
59,22-02-2020 12:20:09,Tbilisi,03F3,geoshop,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0246,15754,6005,542,245,,,,,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
60,22-02-2020 12:20:09,Tbilisi,9VLN,AlienShop,3г. SPEED Амфетамин стимулятор,True,1,нет,Тбилиси,3 гр,0.01,6366,2426,219,99,,,,,,,,,,,,,3g. SPEED Amfetamin stimuljator
61,22-02-2020 12:20:09,Tbilisi,X4ZM,ZYX,White Widow ! 3G ! grainded,True,9,нет,Тбилиси,3 гр,0.0072,4630,1765,159,72,,,,,,,,,,,,,White Widow ! 3G ! grainded
62,22-02-2020 12:20:09,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,2,нет,Тбилиси,3 гр,0.01,6366,2426,219,99,,,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
63,22-02-2020 12:20:09,Tbilisi,WLV7F,AGsgrowgro,metadon sirop 4ml,True,2,нет,Тбилиси,4 гр,0.0067,4308,1642,148,67,,,,,,,,,,,,,metadon sirop 4ml
64,22-02-2020 12:20:09,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0161,10224,3897,352,159,,,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
65,22-02-2020 12:20:09,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0157,9967,3799,343,155,,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
66,22-02-2020 12:20:09,Tbilisi,LYHBG,Playboy,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,True,1,нет,Тбилиси,5 гр,0.0862,54656,20834,1880,850,,,,,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
67,22-02-2020 12:20:59,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,8,нет,Тбилиси,5 гр,0.0177,11253,4289,387,175,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
68,22-02-2020 12:20:59,Tbilisi,5HOGC,NewHybrid,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,1,нет,Тбилиси,5 гр,0.0155,10931,4167,376,170,,,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
69,22-02-2020 12:20:59,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 5 pieces",True,3,нет,Тбилиси,5 гр,0.0152,9645,3677,332,150,,,,,,,,,,,,,"LSD - 250 ug, 5 pieces"
70,22-02-2020 12:20:59,Tbilisi,LYHBG,Playboy,NEW !!! 5G OG KusH !!! NEW,True,4,нет,Тбилиси,5 гр,0.0161,10224,3897,352,159,,,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
71,22-02-2020 12:20:59,Tbilisi,LYHBG,Playboy,NEW !!! 5G White Widow !!! NEW,True,3,нет,Тбилиси,5 гр,0.0156,9902,3775,341,154,,,,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
72,22-02-2020 12:20:59,Tbilisi,SM7B,SWEETWEED,гашиш евро 5г,True,1,нет,Тбилиси,5 гр,0.0202,13503,5147,465,210,,,,,,,,,,,,,gashish evro 5g
73,22-02-2020 12:20:59,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,16,нет,Тбилиси,10 гр,0.0268,17168,6544,591,267,,,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
74,22-02-2020 12:20:59,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 10 pieces",True,1,нет,Тбилиси,10 гр,0.0304,19290,7353,664,300,,,,,,,,,,,,,"LSD - 250 ug, 10 pieces"
75,22-02-2020 12:20:59,Tbilisi,0V3X,arinaneb,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light",True,2,нет,Тбилиси,10 гр,0.0319,22505,8579,774,350,,,,,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light"
76,22-02-2020 12:20:59,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0385,25720,9804,885,400,,,,,,,,,,,,,gashish evro 10g
77,22-02-2020 12:20:59,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",True,6,нет,Тбилиси,10 гр,0.0087,6109,2328,210,95,,,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
78,22-02-2020 12:20:59,Tbilisi,0V3X,arinaneb,"weed gorila glue 20 gram, super duper, popcorn size",True,3,нет,Тбилиси,20 гр,0.0674,45011,17157,1548,700,,,,,,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size"
79,22-02-2020 12:20:59,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0748,49962,19044,1719,777,,,,,,,,,,,,,Gashish Evro 20gr
80,22-02-2020 12:20:59,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,6,5,Тбилиси,0.27 гр,0.0203,12860,4902,442,200,,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
81,22-02-2020 12:20:59,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.0253,16075,6128,553,250,,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
82,22-02-2020 12:20:59,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0608,38580,14706,1327,600,,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
83,22-02-2020 12:20:59,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,8,Тбилиси,4 гр,0.0402,25720,9804,885,400,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
84,22-02-2020 12:20:59,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0552,35365,13481,1217,550,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
85,22-02-2020 12:20:59,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0241,15432,5882,531,240,,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
86,22-02-2020 12:20:59,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0251,16075,6128,553,250,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
87,22-02-2020 12:20:59,Tbilisi,7B8EQ,w1ld1nd1an,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1369,96451,36765,3318,1500,,,,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
88,22-02-2020 12:20:59,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0251,16075,6128,553,250,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
89,22-02-2020 12:20:59,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0251,16075,6128,553,250,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
90,22-02-2020 12:20:59,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.02,12796,4877,440,199,,,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
91,22-02-2020 12:20:59,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0251,16075,6128,553,250,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
92,22-02-2020 12:20:59,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.02,14082,5368,484,219,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
93,22-02-2020 12:20:59,Tbilisi,V4QM9,PotHero420,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,5 гр,0.0191,13439,5123,462,209,,,,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
