,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Didube,Nadzaladevi,Авлобари,Кутаиси,desc_en
56,56,03-03-2020 20:07:54,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0409,24518,9225,824,369.0,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
57,57,03-03-2020 20:07:54,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0332,19867,7475,668,299.0,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
58,58,03-03-2020 20:07:54,Tbilisi,c9a56b2b4a,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.0777,46511,17500,1564,700.0,,,,,,,,20x Extasy Duracell 223mg MDMA.
59,59,03-03-2020 20:07:54,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0665,39800,14975,1338,599.0,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
60,60,03-03-2020 20:07:54,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0738,46511,17500,1564,700.0,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
61,61,03-03-2020 20:07:54,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1199,79732,30000,2681,1200.0,,,,,,,,50 gr 23% THC Amnesia Haze top quality
62,62,03-03-2020 20:07:54,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1053,66377,24975,2232,999.0,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
63,63,03-03-2020 20:07:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2197,132887,50000,4468,2000.0,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
64,64,03-03-2020 20:07:54,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2219,132887,50000,4468,2000.0,,,,,,,,SUBOXIN - HQ - 100 G.
65,65,03-03-2020 20:07:54,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2747,166109,62500,5586,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
66,66,03-03-2020 20:07:54,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1665,99666,37500,3351,1500.0,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
67,67,03-03-2020 20:07:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5054,305641,115000,10277,4600.0,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
68,68,03-03-2020 20:07:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8240000000000001,498328,187500,16757,7500.0,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
69,69,03-03-2020 20:08:38,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.02,13289,5000,447,200.0,,,,,,,,KURYER..500RUB.+BONUS
70,70,03-03-2020 20:08:38,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.02,13289,5000,447,200.0,,,,,,,,Trebuetsja Kur'er
71,71,03-03-2020 20:08:38,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.022000000000000002,13289,5000,447,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
72,72,03-03-2020 20:08:38,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0275,16611,6250,559,250.0,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
73,73,03-03-2020 20:08:38,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.663,996656,375000,33513,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
74,74,03-03-2020 20:11:11,Kutaisi,d4df7908c3,Шишки / weeds Afghan Kush - 2г,,1,нет,Кутаиси,2 гр,0.0082,4917,1850,165,74.0,,,,,,,True,Shishki / weeds Afghan Kush - 2g
75,75,03-03-2020 20:11:11,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,1,3,Кутаиси,3 гр,0.012,7176,2700,241,108.0,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
76,76,03-03-2020 20:11:11,Kutaisi,d4df7908c3,"Ищу курьера (кладчик, кладмен)",,1,нет,Кутаиси,1 гр,0.0111,6644,2500,223,100.0,,,,,,,True,"Ischu kur'era (kladchik, kladmen)"
