,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Varketili,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,€,Didube,Батуми,Центр,desc_en
60,04-08-2020 21:21:45,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0701,58704,22360,1958,800,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
61,04-08-2020 21:21:45,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,3,Тбилиси,10 гр,0.0368,30820,11739,1028,420,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
62,04-08-2020 21:21:45,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.195,163272,62189,5446,2225,,,,,,,,,,,,Amfetamin [White] [Import] 10G
63,04-08-2020 21:21:45,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,4,Тбилиси,11 гр,0.0407,33735,12792,1122,,,,,,,,,390,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
64,04-08-2020 21:21:45,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0518,47697,18168,1591,650,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
65,04-08-2020 21:21:45,Tbilisi,7U9YP,ChitosPizz,Сирец мощный Иран 50гр,True,нет,1,Тбилиси,50 гр,0.7935,692009,262400,23017,,,,,,,,,8000,,,,Sirets moschnyj Iran 50gr
66,04-08-2020 21:21:45,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2103,176113,67080,5874,2400,,,,,,,,,,,,100 gr marijuana buds
67,04-08-2020 21:21:45,Tbilisi,OX85,amnesia420,"Weed cooking butter 100gr, Hight THC",True,нет,1,Тбилиси,100 гр,0.0087,7265,2767,242,99,,,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
68,04-08-2020 21:21:45,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2191,183452,69875,6119,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
69,04-08-2020 21:21:45,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.517,432946,164905,14440,5900,,,,,,,,,,,,180 gr marihuana persoalno
70,04-08-2020 21:23:03,Tbilisi,HWUW,opiopi,GABAGAMA 250 shtuk,,нет,5,Тбилиси,250 гр,0.0215,18000,8283,594,,,,,,,,,,True,,,GABAGAMA 250 shtuk
71,04-08-2020 21:23:03,Tbilisi,6UG,Good Enuff,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,2,Тбилиси,500 гр,0.0876,73381,27950,2448,1000,,,True,,,,True,,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
72,04-08-2020 21:23:03,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7444,623735,237575,20804,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
73,04-08-2020 21:23:03,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0159,14676,5590,490,200,,,,,,,,,,,,KURYER..500RUB.+BONUS
74,04-08-2020 21:23:03,Tbilisi,9R7SU,ClownBaroN,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0219,18345,6988,612,250,True,,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
75,04-08-2020 21:23:03,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0219,18345,6988,612,250,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
76,04-08-2020 21:23:03,Tbilisi,7U9YP,ChitosPizz,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0478,44028,16770,1469,600,,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
77,04-08-2020 21:23:03,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0175,14676,5590,490,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
78,04-08-2020 21:23:03,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,2,Тбилиси,1 гр,0.0219,18345,6988,612,250,,,,,,,,,,,,Rabota na marki (kur'er)
