,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,€,Varketili,Центр,Батуми,desc_en
88,07-08-2020 05:38:40,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0417,36520,13930,1219,500,,,,,True,True,,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
89,07-08-2020 05:41:00,Batumi,Z9UT,Rainbow,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Качественные шишки марихуаны,,1,нет,Батуми,10 гр,0.0333,29216,11144,975,400,,,,,,,,,,True,,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Kachestvennye shishki marihuany
90,07-08-2020 05:41:00,Batumi,XH0NP,XX-PABLO-XX,METADON - 0.30 - SALE,,нет,3,Батуми,0.3 гр,0.0252,21912,8358,731,300,,,,,,,,,,,True,METADON - 0.30 - SALE
91,07-08-2020 05:41:00,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0398,34561,13171,1153,,,,,,,,,399,,,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
92,07-08-2020 05:41:00,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0389,33781,12874,1127,,,,,,,,,390,,,True,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
93,07-08-2020 05:41:00,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0189,18260,6965,609,250,,,,,,,,,,,True,Rabota kladmenom. Tol'ko shishki.
94,07-08-2020 05:41:00,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0189,18260,6965,609,250,,,,,,,,,,,True,Ischu kur'era v Gruzii!
95,07-08-2020 05:41:00,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0167,14608,5572,488,200,,,,,,,,,,,True,Kur'er Batumi na marihuanu
96,07-08-2020 05:41:00,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.2613,1095596,417900,36564,15000,,,,,,,,,,,True,Vakansija optovogo kur'era na mef
97,07-08-2020 05:41:00,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0417,36520,13930,1219,500,,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
