,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,€,Saburtalo,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
39,07-03-2020 22:37:14,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2793,190000,87429,6311,,,,,,,,,,,reagent 25i nbome. 5gr
40,07-03-2020 22:37:14,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2978,202553,75390,6719,3000,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
41,07-03-2020 22:37:14,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.0947,57998,21587,1924,859,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
42,07-03-2020 22:37:14,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,4,Тбилиси,5 гр,0.0204,12491,4649,414,185,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
43,07-03-2020 22:37:14,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0539,33016,12289,1095,489,,,,,,,,,,💘✨5g. MDMA ✨💘
44,07-03-2020 22:37:14,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0363,22213,8268,737,329,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
45,07-03-2020 22:37:14,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0198,12153,4523,403,180,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
46,07-03-2020 22:37:14,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0983,60766,22617,2016,900,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
47,07-03-2020 22:37:14,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0764,47262,17591,1568,700,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
48,07-03-2020 22:37:14,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0436,26939,10027,894,399,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
49,07-03-2020 22:37:14,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0386,23631,8796,784,350,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
50,07-03-2020 22:37:14,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0873,54014,20104,1792,800,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
51,07-03-2020 22:37:14,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2429,150226,55914,4983,2225,,,,,,,,,,Amfetamin [White] [Import] 10G
52,07-03-2020 22:37:14,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.1598,97833,36413,3245,1449,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
53,07-03-2020 22:37:14,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0407,24914,9273,826,369,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
54,07-03-2020 22:37:14,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.033,20188,7514,670,299,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
55,07-03-2020 22:37:14,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0661,40443,15053,1342,599,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
56,07-03-2020 22:37:14,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0733,47262,17591,1568,700,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
57,07-03-2020 22:37:14,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1191,81021,30156,2688,1200,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
58,07-03-2020 22:37:14,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1047,67450,25105,2237,999,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
59,07-03-2020 22:37:14,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2184,135035,50260,4479,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
60,07-03-2020 22:37:14,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2205,135035,50260,4479,2000,,,,,,,,,,SUBOXIN - HQ - 100 G.
61,07-03-2020 22:37:14,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2729,168794,62825,5599,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
62,07-03-2020 22:37:14,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1654,101276,37695,3359,1500,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
63,07-03-2020 22:37:14,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5022,310581,115598,10302,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
64,07-03-2020 22:37:14,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8188,506381,188475,16797,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
65,07-03-2020 22:37:14,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.928,573899,213605,19037,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
