,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,€,Varketili,Saburtalo,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
62,62,17-04-2020 19:08:45,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0259,13975,5169,465,189.0,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
63,63,17-04-2020 19:08:45,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1219,66550,24615,2213,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
64,64,17-04-2020 19:08:45,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0948,51761,19145,1721,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
65,65,17-04-2020 19:08:45,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0433,23662,8752,787,320.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
66,66,17-04-2020 19:08:45,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1084,59155,21880,1967,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
67,67,17-04-2020 19:08:45,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3014,164526,60854,5471,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
68,68,17-04-2020 19:09:15,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1982,107145,39630,3563,1449.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
69,69,17-04-2020 19:09:15,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0505,27285,10092,907,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
70,70,17-04-2020 19:09:15,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0409,22109,8178,735,299.0,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
71,71,17-04-2020 19:09:15,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,нет,1,Тбилиси,20 гр,0.0549,29947,11077,996,405.0,,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
72,72,17-04-2020 19:09:15,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0819,44293,16383,1473,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
73,73,17-04-2020 19:09:15,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.149,81339,30085,2705,1100.0,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
74,74,17-04-2020 19:09:15,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3251,177466,65640,5901,2400.0,,,,,,,,,,,,100 gr marijuana buds
75,75,17-04-2020 19:09:15,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2709,147888,54700,4917,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
76,76,17-04-2020 19:09:15,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2736,147888,54700,4917,2000.0,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
77,77,17-04-2020 19:09:15,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3386,184860,68375,6147,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
78,78,17-04-2020 19:09:15,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.7991,436270,161365,14506,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
79,79,17-04-2020 19:09:15,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4267,232924,86153,7745,3150.0,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
80,80,17-04-2020 19:09:15,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.623,340143,125810,11310,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
81,81,17-04-2020 19:09:15,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0158,554581,205125,18440,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
