,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Didube,Varketili,Vake,Центр,Батуми,desc_en
80,80,01-08-2020 14:48:47,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0422,36713,13930,1219,500.0,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
81,81,01-08-2020 14:48:47,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.2789,1101392,417900,36563,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
82,82,01-08-2020 14:48:47,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0422,36713,13930,1219,500.0,,,,,True,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
83,83,01-08-2020 14:50:48,Batumi,d30ed85c42,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/2шт (0.4мг)!💉⭕⚜,,1,нет,Батуми,0.4 гр,0.0091,7769,2938,258,,,,,89.0,,,,,,True,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/2sht (0.4mg)!💉⭕⚜
84,84,01-08-2020 14:50:48,Batumi,d30ed85c42,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️",,7,нет,Батуми,0.4 гр,0.0233,19989,7559,664,,,,,229.0,,,,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️"
85,85,01-08-2020 14:50:48,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,,12,нет,Батуми,0.5 гр,0.0036,3055,1155,101,,,,,35.0,,,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
86,86,01-08-2020 14:50:48,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,6,нет,Батуми,2 гр,0.0028,2423,919,80,33.0,,,,,,,,,,,True,Melkie shishki (Indica) 2g
87,87,01-08-2020 14:50:48,Batumi,3c4662c591,Super Critical 10G,,1,нет,Батуми,10 гр,0.0382,33042,12537,1097,450.0,,,,,,,,,,True,,Super Critical 10G
88,88,01-08-2020 14:50:48,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,1,4,Батуми,10 гр,0.0448,38407,14524,1276,,,,,440.0,,,,,,True,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
89,89,01-08-2020 14:50:48,Batumi,f8a875c191,METADON - 0.30 - SALE,,нет,5,Батуми,0.3 гр,0.0257,22028,8358,731,300.0,,,,,,,,,,,True,METADON - 0.30 - SALE
90,90,01-08-2020 14:50:48,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0315,27060,10233,899,,,,,310.0,,,,,,,True,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
91,91,01-08-2020 14:50:48,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,4,Батуми,11 гр,0.0397,34043,12874,1131,,,,,390.0,,,,,,,True,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
92,92,01-08-2020 14:50:48,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,1,Батуми,11 гр,0.0406,34828,13171,1157,,,,,399.0,,,,,,,True,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
93,93,01-08-2020 14:50:48,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0077,7343,2786,244,100.0,,,,,,,,,,,True,kur'er v Batumi
94,94,01-08-2020 14:50:48,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0193,18357,6965,609,250.0,,,,,,,,,,,True,Rabota kladmenom. Tol'ko shishki.
95,95,01-08-2020 14:50:48,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0193,18357,6965,609,250.0,,,,,,,,,,,True,Ischu kur'era v Gruzii!
96,96,01-08-2020 14:50:48,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.017,14685,5572,488,200.0,,,,,,,,,,,True,Kur'er Batumi na marihuanu
97,97,01-08-2020 14:50:48,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.2834,1101392,417900,36563,15000.0,,,,,,,,,,,True,Vakansija optovogo kur'era na mef
98,98,01-08-2020 14:50:48,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0424,36713,13930,1219,500.0,,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
