,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Saburtalo,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
63,63,12-03-2020 08:49:32,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0176,10363,3843,336,145.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
64,64,12-03-2020 08:49:32,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0241,15652,5804,507,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
65,65,12-03-2020 08:49:32,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0734,42883,15900,1388,600.0,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
66,66,12-03-2020 08:49:32,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0182,10721,3975,347,150.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
67,67,12-03-2020 08:49:32,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.022000000000000002,14294,5300,463,200.0,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
68,68,12-03-2020 08:50:28,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2927,190000,87429,6149,,,,,,,,,,,reagent 25i nbome. 5gr
69,69,12-03-2020 08:50:29,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3303,214416,79500,6942,3000.0,True,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
70,70,12-03-2020 08:50:29,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1051,61394,22764,1988,859.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
71,71,12-03-2020 08:50:29,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0226,13222,4903,428,185.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
72,72,12-03-2020 08:50:29,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0598,34950,12959,1132,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
73,73,12-03-2020 08:50:29,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0402,23514,8719,761,329.0,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
74,74,12-03-2020 08:50:29,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,1,Тбилиси,5 гр,0.022000000000000002,12865,4770,417,180.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
75,75,12-03-2020 08:50:29,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.109,64325,23850,2083,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
76,76,12-03-2020 08:50:29,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0848,50030,18550,1620,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
77,77,12-03-2020 08:50:29,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0483,28517,10574,923,399.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
78,78,12-03-2020 08:50:29,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0428,25015,9275,810,350.0,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
79,79,12-03-2020 08:50:29,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0969,57178,21200,1851,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
80,80,12-03-2020 08:50:29,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2694,159025,58963,5149,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
81,81,12-03-2020 08:50:29,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.1772,103563,38399,3353,1449.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
82,82,12-03-2020 08:50:29,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0451,26373,9779,854,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
83,83,12-03-2020 08:50:29,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0366,21370,7924,692,299.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
84,84,12-03-2020 08:50:29,Tbilisi,be97026d1d,MDMA 20 g,True,нет,1,Тбилиси,20 гр,0.2059,121502,45050,3934,1700.0,,,,,,,,,,MDMA 20 g
85,85,12-03-2020 08:50:29,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0733,42812,15874,1386,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
86,86,12-03-2020 08:50:29,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0813,50030,18550,1620,700.0,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
