,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Nadzaladevi,Old Tbilisi (Старый город),Vake,Gldani,Didube,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
82,04-04-2020 01:20:37,Tbilisi,8B31,GEOWEEDSHOP,50gr Georgian Indica dominant buds. The Best PRICE,True,нет,13,Тбилиси,50 гр,0.1425,77655,27622,2587,999,True,,,,,,,,,,,50gr Georgian Indica dominant buds. The Best PRICE
83,04-04-2020 01:20:37,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1569,85506,30415,2848,1100,True,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
84,04-04-2020 01:20:37,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3423,186558,66360,6214,2400,True,,,,,,,,,,,100 gr marijuana buds
85,04-04-2020 01:20:37,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2853,155465,55300,5179,2000,True,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
86,04-04-2020 01:20:37,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2881,155465,55300,5179,2000,True,,,,,,,,,,,SUBOXIN - HQ - 100 G.
87,04-04-2020 01:20:37,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3566,194331,69125,6473,2500,True,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
88,04-04-2020 01:20:37,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2161,116599,41475,3884,1500,True,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
89,04-04-2020 01:20:37,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6562,357570,127190,11911,4600,True,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
90,04-04-2020 01:20:37,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.0698,582994,207375,19420,7500,True,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
91,04-04-2020 01:20:37,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.2125,660726,235025,22009,8500,True,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
92,04-04-2020 01:20:37,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0259,15547,5530,518,200,True,,,,,,,,,,,KURYER..500RUB.+BONUS
93,04-04-2020 01:20:37,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.0214,11660,4148,388,150,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
94,04-04-2020 01:20:37,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0285,15547,5530,518,200,True,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
95,04-04-2020 01:20:37,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0357,19433,6913,647,250,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
96,04-04-2020 01:20:37,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.1591,1165988,414750,38840,15000,True,,,,,,,,,,,Vakansija optovogo kur'era na mef
