,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Varketili,Vazisubani,Zahesi,Gldani,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
54,04-07-2020 13:17:16,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0284,19035,7385,654,,True,270,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
55,04-07-2020 13:17:16,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0209,15439,5990,530,,True,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
56,04-07-2020 13:17:16,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,4,Тбилиси,5 гр,0.0183,12267,4759,421,,True,174,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
57,04-07-2020 13:17:16,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0284,19035,7385,654,,True,270,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
58,04-07-2020 13:17:16,Tbilisi,A3I9,Joookerrr,Геройн (сирец) 5 гр,,нет,2,Тбилиси,5 гр,0.1577,105750,41025,3632,,True,1500,,,,,,,,,,,Gerojn (sirets) 5 gr
59,04-07-2020 13:17:16,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,1,Тбилиси,5 гр,0.0263,17625,6838,605,,,250,,,,,True,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
60,04-07-2020 13:17:16,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2576,190000,87429,6528,,True,,,,,,,,,,,,reagent 25i nbome. 5gr
61,04-07-2020 13:17:16,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2868,211500,82050,7264,,,3000,,,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
62,04-07-2020 13:17:16,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,7,Тбилиси,5 гр,0.1326,88054,34160,3024,,True,1249,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
63,04-07-2020 13:17:16,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,4,Тбилиси,5 гр,0.0212,14100,5470,484,,True,200,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
64,04-07-2020 13:17:16,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0946,63450,24615,2179,,True,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
65,04-07-2020 13:17:16,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0578,38775,15043,1332,,True,550,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
66,04-07-2020 13:17:16,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0736,49350,19145,1695,,True,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
67,04-07-2020 13:17:16,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0442,29610,11487,1017,,True,420,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
68,04-07-2020 13:17:16,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0841,56400,21880,1937,,True,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
69,04-07-2020 13:18:44,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0841,56400,21880,1937,,True,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
70,04-07-2020 13:18:44,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,8,Тбилиси,10 гр,0.0368,24675,9573,847,,True,350,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
71,04-07-2020 13:18:44,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2338,156862,60854,5388,,True,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
72,04-07-2020 13:18:44,Tbilisi,A3I9,Joookerrr,Марки н-боом 10 шт.,,нет,7,Тбилиси,10 гр,0.0105,7050,2735,242,,True,100,,,,,,,,,,,Marki n-boom 10 sht.
73,04-07-2020 13:18:44,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,7,Тбилиси,10 гр,0.2652,176179,68348,6051,,True,2499,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
74,04-07-2020 13:18:44,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,15,Тбилиси,10 гр,0.0424,28200,10940,969,,True,400,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
75,04-07-2020 13:18:44,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0465,30896,11934,1065,390,True,,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
76,04-07-2020 13:18:44,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,20,Тбилиси,20 гр,0.0849,56400,21880,1937,,True,800,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
77,04-07-2020 13:18:44,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2522,169200,65640,5811,,True,2400,,,,,,,,,,,100 gr marijuana buds
78,04-07-2020 13:18:44,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2101,141000,54700,4843,,True,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
79,04-07-2020 13:18:44,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2627,176250,68375,6054,,True,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
80,04-07-2020 13:18:44,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6199,415949,161365,14286,,True,5900,,,,,,,,,,,180 gr marihuana persoalno
81,04-07-2020 13:18:44,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4833,324300,125810,11138,,True,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
82,04-07-2020 13:18:44,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.788,528749,205125,18161,,True,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
83,04-07-2020 13:18:44,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.893,599249,232475,20582,,True,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
84,04-07-2020 13:18:44,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0191,14100,5470,484,,True,200,,,,,,,,,,,KURYER..500RUB.+BONUS
