,Unnamed: 0,time_stamp,region,sell_code,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,Didube,Vake,Авлобари,Gldani,Дигоми,Nadzaladevi,€,Батуми,Центр,Кутаиси,desc_en
102,102,06-05-2020 23:24:27,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0212,14794,5410,488,200.0,,True,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
103,103,06-05-2020 23:24:27,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0265,18493,6763,610,250.0,,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
104,104,06-05-2020 23:25:19,Tbilisi,54915c4374,Работа на марки (курьер),,нет,1,Тбилиси,25 гр,0.0212,14794,5410,488,200.0,,True,,,,,,,,,,,Rabota na marki (kur'er)
105,105,06-05-2020 23:25:19,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.6018,1109579,405750,36606,15000.0,,True,,,,,,,,,,,Vakansija optovogo kur'era na mef
106,106,06-05-2020 23:26:48,Batumi,521fe98639,svan ice 1g,,1,нет,Батуми,1 гр,0.004,3107,1136,103,42.0,,,,,,,,,,True,,,svan ice 1g
107,107,06-05-2020 23:26:48,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2317,162738,59510,5369,2200.0,,,,,,,,,,True,,,[100g] SPAIN HASH
108,108,06-05-2020 23:26:48,Batumi,54915c4374,Марки Н-ВоооооМ!!!! 4 штуки,,нет,9,Батуми,4 гр,0.0064,4483,1641,149,,,,,,,,,,56.0,True,,,Marki N-VoooooM!!!! 4 shtuki
109,109,06-05-2020 23:26:48,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",,нет,7,Батуми,8 гр,0.0084,5918,2164,195,80.0,,,,,,,,,,True,,,"""Dzhoker ekspres"" marki nbooom 8 sht"
110,110,06-05-2020 23:26:48,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1609,112990,51992,3722,,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
111,111,06-05-2020 23:26:48,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2547,178900,82321,5893,,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
112,112,06-05-2020 23:26:48,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7397,2705,244,100.0,,,,,,,,,,True,,,kur'er v Batumi
113,113,06-05-2020 23:26:48,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0239,18493,6763,610,250.0,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
114,114,06-05-2020 23:26:48,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0239,18493,6763,610,250.0,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
115,115,06-05-2020 23:26:48,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5943,1109579,405750,36606,15000.0,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
116,116,06-05-2020 23:26:48,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0527,36986,13525,1220,500.0,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
117,117,06-05-2020 23:28:30,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0227,16274,5951,537,220.0,,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
118,118,06-05-2020 23:28:30,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0548,38465,14066,1269,520.0,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
119,119,06-05-2020 23:28:30,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0403,28849,10550,952,390.0,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
120,120,06-05-2020 23:28:30,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0211,14794,5410,488,200.0,,,,,,,,,,,,True,Rabota na marki (kur'er)
